collision_id	authority_query_id	occurrence_id_or_query_scope	rank_or_scope	url_or_domain	collision_type	observed_evidence	why_uncertain_or_colliding	classification_effect	downstream_handling
C046	R06	R06-01	1	https://sally-seller.ru/	BUYER_NAVIGATION_OR_SEARCH	Салли — ИИ-помощник селлера для Wildberries и Ozon — С какими маркетплейсами работает Салли? С Wildberries и Ozon. Можно подключить только один маркетплейс и полноценно им пользоваться, а можно оба — тогда Салли соберёт ещё и общий взгляд. Это безопасно — давать вам API-токен? … Салли — помощник селлера. Командный центр Telegram Дашборды Чат Тарифы Вопросы Войти.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C047	R06	R06-02	2	https://infosell.tech/	CREATIVE_CARD_GENERATION	InfoSell — ИИ-сервисы для продавцов маркетплейсов — ИИ-продукты для селлеров Wildberries и Ozon: ассистент-аналитик, финансовый ассистент, автоответы на отзывы и вопросы, инфографика и нейрофотосессии для карточек товаров.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	TARGET_RELEVANT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C048	R06	R06-16	16	https://www.avito.ru/all/vakansii?q=%D0%BF%D0%BE%D0%BC%D0%BE%D1%89%D0%BD%D0%B8%D0%BA+%D0%BC%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80%D0%B0+%D0%BF%D0%BE+%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BF%D0%BB%D0%B5%D0%B9%D1%81%D0%B0%D0%BC+%D1%83%D0%B4%D0%B0%D0%BB%D0%B5%D0%BD%D0%BD%D0%BE	HUMAN_ROLE_OR_TRAINING	помощник менеджера по маркетплейсам удаленно... — Авито — Предложения работы во всех регионах по запросу помощник менеджера по маркетплейсам удаленно от прямых работодателей. Удобный выбор вакансий по уровню зарплаты, графику работы и образованию. … Нужна правая рука - помощница, которая будет делать 70% моей работы селлера на маркетплейсах в мою команду сотрудников.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C049	R06	R06-17	17	https://rask.pro/	ACCOUNTING_OR_STATUTORY	RASK - Аналитика для маркетплейсов — Телеграм-комьюнити. Открытый канал и чат с актуальной статистикой по маркетплейсам, разборами отчётов RASK и примерами стратегий, а также прямые эфиры с приглашёнными экспертами по налогам, логистике и другим важным для селлеров темам.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C050	R06	R06-18	18	https://owlsseller.ru/	WRONG_MARKETPLACE_OR_PLATFORM	OWLS Seller — все маркетплейсы в одном окне — SaaS для селлеров. Облачная система управления продажами на всех маркетплейсах. OWLS Seller объединяет Wildberries, Ozon, Яндекс Маркет, МегаМаркет, AliExpress и М.Видео в единую систему. Заказы, остатки, цены, аналитика и склад — без переключений между ЛК и десятка Excel-таблиц.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C051	R07	R07-04	4	https://secrets.tbank.ru/razvitie/kartochka-wildberries/	CREATIVE_CARD_GENERATION	Карточки товара на Wildberries в 2026: как правильно заполнять... — Шаг 1. Добавить фотографии в карточку товара. Шаг 2. Указать цену. Шаг 3. Заполнить характеристики и описание товара. На что еще обратить внимание при оформлении карточки на Wildberries. Как изменить карточку товара. Какие есть способы удаления карточки товара.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C052	R07	R07-05	5	https://www.moysklad.ru/poleznoe/marketplejsy/kartochka-tovara-na-wildberries/	BUYER_NAVIGATION_OR_SEARCH	Карточка товара на Wildberries (Вайлдберриз) в 2026 году — В этой статье: как правильно заполнить карточку товара на Wildberries — сделать ее конкурентоспособной на маркетплейсе и привлекательной для покупателей. … Как создать карточку товара на Wildberries: пошаговая инструкция. Все показываем и рассказываем. Шаг 1. Добавить товар. Товары добавляют в кабинете продавца: Товары и цены → Карточка товара → Добавить.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	TARGET_RELEVANT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C053	R07	R07-08	8	https://selsup.ru/blog/kak-pravilno-sozdat-kartochku-tovara-na-wildberries-v-2024-godu-poshagovaya-instruktsiya/	CREATIVE_CARD_GENERATION	Как создать карточку товара на Wildberries в 2026 году — Как создать одну карточку товара на Wildberries: актуальный путь в кабинете, поля, цена, размеры, баркоды, упаковка, документы, фото и видео. … В кабинете продавца перейдите в «Товары и цены», затем в «Карточку товара». Нажмите «Добавить» и выберите «Один товар». Этот маршрут подходит, когда вы заводите одну позицию или хотите внимательно заполнить карточку без таблицы.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C054	R07	R07-09	9	https://blog.promopult.ru/ecommerce/kak-sozdat-i-oformit-kartochku-tovara-na-wildberries.html	CREATIVE_CARD_GENERATION	Как создать и заполнить карточку товара на Вайлдберриз... — Правильно заполненная и оформленная карточка товара — один из факторов успешных продаж на Wildberries. Предложение должно с первых секунд зацепить потенциального покупателя. Поэтому нужно уделить внимание всем параметрам, начиная с названия и изображений и заканчивая подробным описанием и характеристиками. Пошагово рассказали, как создать, заполнить и оптимизировать карточку товара...	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C055	R07	R07-15	15	https://www.etxt.ru/subscribes/kak-sozdat-kartochku-tovara-na-wildberries/	CREATIVE_CARD_GENERATION	Карточки товара на Wildberries: особенности создания — 1. Что такое карточка товара Wildberries 2. Как заполнить карточку товара на ВБ 3. Особенности и нюансы создания карточек. Что такое карточка товара Wildberries. Карточка — страница, где подробно описан товар: стоимость и изменения цены, характеристики, состав, дополнительная информация, отзывы покупателей, фотографии, видео и т. д. Создание карточки товара Wildberries состоит из нескольких этапов. Для этого необходимо	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C056	R07	R07-16	16	https://adapter.ru/blog/kak-sozdat-i-zapolnit-kartochku-tovara-na-wildberries/	CREATIVE_CARD_GENERATION	Как создать карточку товара на Вайлдберриз и заполнить её... — При покупке товаров через Wildberries большинство пользователей используют поиск. Для этого они вводят поисковый запрос в соответствующей строке, после чего изучают предложения. Чтобы гарантировать стабильные продажи товаров, важно попасть в первые позиции выдачи, а для этого нужно уметь правильно заполнять карточку товаров.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C057	R07	R07-19	19	https://marpla.ru/blog/trebovaniya-k-kartochkam-tovara-wildberries-pravila-zapolneniya/	CREATIVE_CARD_GENERATION	Заполнение карточек на Вайлдберриз – какие требования WB... — Требования к карточкам товара Wildberries - правила заполнения фото 4. Артикул товара — поле со звездочкой, т. ч. его заполнить нужно в любом случае. По умолчанию это уникальный набор цифр, который нужно копировать из документации на продукцию.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C058	R08	R08-08	8	https://mpstats.io/instruments/ads-analytics	WRONG_MARKETPLACE_OR_PLATFORM	Управление внешней рекламой для маркетплейсов от MPSTATS... — Сервис MPSTATS для управления внешней рекламой на Wildberries, Ozon и Яндекс Маркет. Запуск таргетированной рекламы, привлечение внешнего трафика на карточку товара с РСЯ, Яндекс Директ, Вконтакте. … Анализируйте рекламу на данных рынка. 22 млн. рекламных постов отслеживаем в Telegram, YouTube, VK и Wibes.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	TARGET_RELEVANT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C059	R08	R08-10	10	https://jvo.ru/	AUTOBIDDER_OR_MUTATION	Дживио — Комплексная платформа для управления товарным... — Сервис аналитики продаж и анализа товаров на маркетплейсах → JVO (Дживио) — Комплексная платформа для управления товарным бизнесом на маркетплейсах → Управляйте всеми маркетплейсами в одном окне → Оставляйте заявку на сайте!	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C060	R08	R08-12	12	https://sellmonitor.com/	HUMAN_ROLE_OR_TRAINING;WRONG_MARKETPLACE_OR_PLATFORM	Sellmonitor — аналитика маркетплейсов для профессионалов... — Сервис аналитики и продвижения товаров на Wildberries, Ozon и Яндекс Маркет. Подними свои продажи на маркетплейсах. Sellmonitor поможет найти нишу, оптимизировать поставки, проанализировать стратегию конкурентов, повысить позиции своих товаров в выдаче и многое другое.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	TARGET_RELEVANT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C061	R08	R08-14	14	https://limescope.ru/	WRONG_MARKETPLACE_OR_PLATFORM	LimeScope — аналитика маркетплейсов — Аналитика продаж, прибыли, рекламы, остатков и закупок для Ozon, Wildberries и Яндекс Маркета. … Вся экономика маркетплейсов — в одном окне. Собирайте продажи, расходы, рекламу, остатки и прибыль всех кабинетов в единую понятную систему. LimeScope показывает не просто оборот, а реальный финансовый результат.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	TARGET_RELEVANT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C062	R09	R09-02	2	https://seller.wildberries.ru/instructions/ru/ru/material/search-analytics-report	ACCOUNTING_OR_STATUTORY	Отчёт «Поисковые запросы на WB» — Изменения для продавцов, которые платят налоги по упрощённой системе (УСН). Таблица расчёта уровня выброса парниковых газов. Как завершить сотрудничество с Wildberries. Изменение юридического лица Wildberries. Знакомство с порталом продавца.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	TARGET_RELEVANT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C063	R10	R10-15	15	https://sellego.com/blog/stati/kak-opredelit-spros-na-wildberries-i-vybrat-pribylnuyu-nishu/	ACCOUNTING_OR_STATUTORY	Как определить спрос на ВБ и сделать анализ ниши — Анализ спроса на Wildberries через Sellego Анализ спроса и ниши на Вайлдберриз по шагам. Бонус: как искать свободные ниши на ВБ с Sellego? … Конкуренция возросла, много продавцов зашло в нишу. Можно сделать вывод о том, что ниша перегревается, и заходить в нее не стоит. Для надежности аналогичным образом проверим смежные запросы.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	TARGET_RELEVANT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C064	R11	R11-15	15	https://www.insales.ru/blogs/university/kak-prodavat-na-wildberries	BUYER_NAVIGATION_OR_SEARCH	Как начать продавать на Wildberries в 2026 году: пошаговая... — Как зарегистрироваться продавцом на Wildberries. Регистрация проходит на портале для продавцов WB Partners. Если данные и документы готовы заранее, заполнить анкету можно примерно за час. Шаг 1. Создайте кабинет. Откройте портал seller.wildberries.ru и нажмите «Стать продавцом». Войти можно по номеру телефона с кодом из СМС или через Госуслуги.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C065	R11	R11-19	19	https://t-j.ru/kak-rabotaet-marketplace/	CREATIVE_CARD_GENERATION	Как продавать на Wildberries в 2026: инструкция, как стать... — Я ИП, заказываю детскую одежду из Турции большими объемами и продаю мелким продавцам со своего арендованного склада. Хочу попробовать выставить товар на маркетплейсе, но не понимаю, как это работает. Мне нужно сфотографировать каждую вещь? Все время быть онлайн на маркетплейсе? … Тарифы на Wildberries регулярно меняются, отслеживать их селлер может в личном кабинете в одноименном разделе.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	TARGET_RELEVANT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C066	R11	R11-20	20	https://www.mtsbank.ru/articles/kak-prodavat-na-wildberries/	ACCOUNTING_OR_STATUTORY	Как продавать на Вайлдберриз в 2026 году с нуля... | МТС Банк — Как начать продавать на Wildberries в 2026 году с нуля: регистрация, гарантийный взнос, выбор ниши, налоги и НДС на УСН, схемы FBW, FBS и DBS, первая поставка. … За что могут заблокировать продавца на Вайлдберриз? Продажа товаров на Wildberries: плюсы и минусы.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	TARGET_RELEVANT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C067	R12	R12-01	1	https://vc.ru/marketing/3087623-top-neyrosetey-dlya-sozdaniya-kartochek-tovarov-na-marketpleysakh	CREATIVE_CARD_GENERATION	"Топ-5 нейросетей для создания карточек для маркетплейсов... — Aidentika - это ИИ для создания карточек для маркетплейсов, который работает прямо в браузере, без установки и без команды дизайнеров. Загружаете обычное фото со смартфона в формате JPEG, PNG, WebP или HEIC, выбираете концепцию - студия, интерьер, композиция, ""на модели"" - и получаете студийную визуализацию. По сути это нейросеть для создания карточки товара на маркетплейсах..."	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	TARGET_RELEVANT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C068	R12	R12-02	2	https://www.sostav.ru/blogs/289775/91876	CREATIVE_CARD_GENERATION	Топ 15 ИИ для создания карточек товара - лучшие нейросети для... — Заточен под создание инфографики и видеообложек для маркетплейсов без навыков дизайна. Встроенные нейросети помогают генерировать изображения и обрабатывать исходники прямо в редакторе. Оформить карточки товаров можно быстро за счет огромной базы готовых шаблонов. Базовая платная подписка обойдется от 415 до 590 рублей в месяц. Дополнительные пакеты ИИ-кредитов, 500 кредитов - около 1000 рублей.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	TARGET_RELEVANT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C069	R12	R12-03	3	https://aimarketcap.ru/guides/nejroseti-dlya-marketplejsov/	CREATIVE_CARD_GENERATION	Нейросети для маркетплейсов: карточки товаров с ИИ — Нейросети для маркетплейсов: обзор Топ-5 ИИ-сервисов с ценами и функциями. Выбирайте нейросеть для карточек маркетплейса, повышайте конверсии и продажи — обзоры на AIMarketCap. … Топ-5 сервисов для создания карточек товаров с ИИ. Мы отобрали наиболее интересные нейросети для маркетплейсов, представленные на рынке. При этом учитывались функциональность, удобство, интеграции с площадками и ценовая политика.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	TARGET_RELEVANT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C070	R12	R12-05	5	https://vc.ru/ai/2198354-luchshie-neyroseti-dlya-sozdaniya-kartochek-tovarov-na-marketpleysakh	CREATIVE_CARD_GENERATION	ТОП 6 нейросетей для создания карточек для маркетплейсов: ИИ... — Jasper AI — ии нейросеть для создания карточек для маркетплейсов. Jasper AI— англоязычный сервис, известный своими сильными возможностями в маркетинге. Он генерирует цепляющие описания, рекламные тексты и SEO-контент.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	TARGET_RELEVANT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C071	R12	R12-07	7	https://vc.ru/ai/2284976-neyroseti-dlya-marketpleysov-9-luchshikh-ii	HUMAN_ROLE_OR_TRAINING;CREATIVE_CARD_GENERATION	Нейросети для карточек маркетплейсов: 9 лучших ИИ для... — Нейросети для маркетплейсов — это интеллектуальные сервисы, которые помогают продавцам создавать качественные карточки товаров: тексты, фото, инфографику, описания, заголовки и даже теги для SEO. ИИ-платформы обучены на тысячах примеров успешных карточек Wildberries, OZON, Avito и других площадок, поэтому умеют подстраиваться под алгоритмы и повышать конверсию без участия дизайнера или копирайтера.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C072	R12	R12-09	9	https://vc.ru/ai/2884634-ii-dlya-kartochek-tovara	CREATIVE_CARD_GENERATION	ИИ для карточек товара: 12 нейросетей, которые... — AI на vc.ru — ИИ для карточек товара, нейросети для Ozon, Wildberries, автоматизация создания изображений и текстов, экономия времени для селлеров. … Один из самых популярных инструментов среди селлеров. Удаляет фон за секунду, предлагает шаблоны для маркетплейсов, добавляет тени и отражения для реалистичности. Встроенный ИИ генерирует фоны по текстовому описанию и автоматически подбирает цветовую гамму.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C073	R12	R12-10	10	https://elama.ru/blog/napolnenie-dlya-kartochki-marketpleysa-bez-byudzheta-i-sms-instrukciya-po-rabote-s-neyrosetyami/	CREATIVE_CARD_GENERATION	28 нейросетей для маркетплейсов: создание карточек товаров... — Как выбрать нейросеть для карточек товаров. Рынок ИИ-сервисов для маркетплейсов стремительно растет каждый год. Запутаться в них легко. Ниже расскажем, на какие критерии стоит обратить внимание. Критерии выбора: язык, тарифы, интеграции, тип задач.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	TARGET_RELEVANT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C074	R12	R12-16	16	https://skillbox.ru/media/marketing/neyroseti-dlya-marketpleysov-4-servisa-kotorye-uskoryat-rabotu-v-neskolko-raz/	CREATIVE_CARD_GENERATION	Нейросеть для маркетплейсов: какие бывают... / Skillbox Media — Селлеры и менеджеры маркетплейсов тратят много времени на рутину — обработку изображений, создание инфографики и описаний товара. Ещё им приходится отслеживать отзывы и отвечать на них. Эти задачи можно передать специалистам — или делегировать нейросети. Мы обратились к сотруднику диджитал-агентства Demis Group и попросили рассказать, какие нейросети для работы с маркетплейсами используют в агентстве.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C075	R12	R12-17	17	https://skillbox.ru/media/marketing/5-neyrosetey-pozvolyayuschih-sozdavat-infografiku-dlya-marketpleysov/	CREATIVE_CARD_GENERATION	Нейросети для создания инфографики и карточек... / Skillbox Media — Бесплатные ИИ-сервисы и программы для генерации изображений. … Какую нейросеть выбрать для создания инфографики для маркетплейсов. Сервисы для создания инфографики отличаются не только шаблонами и ценой. Чтобы было проще выбрать подходящий инструмент, мы собрали их основные отличия в одной таблице.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	TARGET_RELEVANT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C076	R12	R12-18	18	https://www.reg.ru/blog/podborka-nejrosetej-dlya-marketplejsov/	CREATIVE_CARD_GENERATION	Подборка нейросетей для маркетплейсов: создания карточек... — И одна из самых мощных — нейросети для маркетплейсов. Нейросети уже не фантастика и не технология будущего — они доступны каждому и могут кардинально упростить работу. Рассказываем, как использовать нейросети для создания инфографики для маркетплейсов и про ИИ для генерации изображений для карточек. Чем полезны нейросети при работе с маркетплейсами.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C077	R12	R12-19	19	https://www.directline.pro/connect/p/neyroseti-dlya-marketpleysov/	CREATIVE_CARD_GENERATION	ТОП-10 лучших нейросетей для маркетплейсов Wildberries и Ozon — Лучшие нейросети для маркетплейсов, которые генерируют изображения, описание карточки товара и инфографику. … Сегодня нейросети активно применяются в бизнесе. Особенно широко используются нейросети для маркетплейсов – генерируют описания для карточек товара, логотипы, изображения. В данной статье рассмотрим 10 лучших сервисов, которыми пользуются владельцы магазинов на Wildberries и Ozon.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	TARGET_RELEVANT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C078	S01	QUERY_SCOPE	ALL_1_20	MULTIPLE	MIXED_SERP_INTENT	Generic AI-agent/assistant marketplace category with adjacent automation/content surfaces.	The accepted query profile contains multiple recurring roles/surfaces.	Query-level intent remains mixed; profile retained without forced merge.	Use in M4B sampling/expansion and later clustering evidence; no page decision in M4A.
C079	S02	QUERY_SCOPE	ALL_1_20	MULTIPLE	MIXED_SERP_INTENT	Ozon-specific AI-agent category and seller/API/data intent.	The accepted query profile contains multiple recurring roles/surfaces.	Query-level intent remains mixed; profile retained without forced merge.	Use in M4B sampling/expansion and later clustering evidence; no page decision in M4A.
C080	S03	QUERY_SCOPE	ALL_1_20	MULTIPLE	MIXED_SERP_INTENT	Wildberries-specific AI-agent category with shared core and marketplace-specific depth.	The accepted query profile contains multiple recurring roles/surfaces.	Query-level intent remains mixed; profile retained without forced merge.	Use in M4B sampling/expansion and later clustering evidence; no page decision in M4A.
C081	R01	QUERY_SCOPE	ALL_1_20	MULTIPLE	MIXED_SERP_INTENT	Own-LLM connection intent has a strong direct head and mixed integration/content tail.	The accepted query profile contains multiple recurring roles/surfaces.	Query-level intent remains mixed; profile retained without forced merge.	Use in M4B sampling/expansion and later clustering evidence; no page decision in M4A.
C082	R02	QUERY_SCOPE	ALL_1_20	MULTIPLE	MIXED_SERP_INTENT	Ozon ChatGPT intent mixes seller assistance, connection and content use cases.	The accepted query profile contains multiple recurring roles/surfaces.	Query-level intent remains mixed; profile retained without forced merge.	Use in M4B sampling/expansion and later clustering evidence; no page decision in M4A.
C083	R03	QUERY_SCOPE	ALL_1_20	MULTIPLE	MIXED_SERP_INTENT	Wildberries ChatGPT intent mixes seller assistance, connection and content use cases.	The accepted query profile contains multiple recurring roles/surfaces.	Query-level intent remains mixed; profile retained without forced merge.	Use in M4B sampling/expansion and later clustering evidence; no page decision in M4A.
C084	R04R1	QUERY_SCOPE	ALL_1_20	MULTIPLE	MIXED_SERP_INTENT	Seller analytics intent spans products, services, editorial guidance and human-role collisions.	The accepted query profile contains multiple recurring roles/surfaces.	Query-level intent remains mixed; profile retained without forced merge.	Use in M4B sampling/expansion and later clustering evidence; no page decision in M4A.
C085	R05	QUERY_SCOPE	ALL_1_20	MULTIPLE	MIXED_SERP_INTENT	Seller reporting intent mixes operational reports with accounting/statutory contamination.	The accepted query profile contains multiple recurring roles/surfaces.	Query-level intent remains mixed; profile retained without forced merge.	Use in M4B sampling/expansion and later clustering evidence; no page decision in M4A.
C086	R06	QUERY_SCOPE	ALL_1_20	MULTIPLE	MIXED_SERP_INTENT	Software/AI seller-helper intent dominates, with smaller human/service collisions.	The accepted query profile contains multiple recurring roles/surfaces.	Query-level intent remains mixed; profile retained without forced merge.	Use in M4B sampling/expansion and later clustering evidence; no page decision in M4A.
C087	R07	QUERY_SCOPE	ALL_1_20	MULTIPLE	MIXED_SERP_INTENT	Operational WB card workflow coexists with creative-card and education surfaces.	The accepted query profile contains multiple recurring roles/surfaces.	Query-level intent remains mixed; profile retained without forced merge.	Use in M4B sampling/expansion and later clustering evidence; no page decision in M4A.
C088	R08	QUERY_SCOPE	ALL_1_20	MULTIPLE	MIXED_SERP_INTENT	Marketplace advertising analytics overlaps tools, services, education and automation boundaries.	The accepted query profile contains multiple recurring roles/surfaces.	Query-level intent remains mixed; profile retained without forced merge.	Use in M4B sampling/expansion and later clustering evidence; no page decision in M4A.
C089	R09	QUERY_SCOPE	ALL_1_20	MULTIPLE	MIXED_SERP_INTENT	WB seller search-query task collides with buyer/general search and card-SEO surfaces.	The accepted query profile contains multiple recurring roles/surfaces.	Query-level intent remains mixed; profile retained without forced merge.	Use in M4B sampling/expansion and later clustering evidence; no page decision in M4A.
C090	R10	QUERY_SCOPE	ALL_1_20	MULTIPLE	MIXED_SERP_INTENT	WB niche-analysis task overlaps external analytics vendors and educational guidance.	The accepted query profile contains multiple recurring roles/surfaces.	Query-level intent remains mixed; profile retained without forced merge.	Use in M4B sampling/expansion and later clustering evidence; no page decision in M4A.
C091	R11	QUERY_SCOPE	ALL_1_20	MULTIPLE	MIXED_SERP_INTENT	WB seller-cabinet procedural help is mixed with native help, education and buyer navigation.	The accepted query profile contains multiple recurring roles/surfaces.	Query-level intent remains mixed; profile retained without forced merge.	Use in M4B sampling/expansion and later clustering evidence; no page decision in M4A.
C092	R12	QUERY_SCOPE	ALL_1_20	MULTIPLE	MIXED_SERP_INTENT	AI/tool comparison intent mixes agents, analytics products, editorial lists and creative tools.	The accepted query profile contains multiple recurring roles/surfaces.	Query-level intent remains mixed; profile retained without forced merge.	Use in M4B sampling/expansion and later clustering evidence; no page decision in M4A.
