domain_id	registrable_domain	entity_name_or_hold	all_occurrence_count	distinct_query_count	top3_query_coverage	top10_query_coverage	rank11_20_query_coverage	distinct_ranking_urls	target_relevant_occurrence_count	target_relevant_distinct_query_count	market_surface_distribution	collision_or_uncertainty_exposure	metric_granularity_notes	source_occurrence_ids
D102	softrest.ru	Softrest	2	2	0	0	2	1	2	2	THIRD_PARTY_PRODUCT_VENDOR:2	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S02-19 | S03-18
D103	sostav.ru	Sostav	1	1	1	1	0	1	1	1	EDITORIAL_OR_PUBLISHER:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R12-02
D104	superintellect.ru	Superintellect	5	3	0	2	3	5	5	3	THIRD_PARTY_PRODUCT_VENDOR:5	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S01-19 | S02-08 | S02-11 | S03-06 | S03-11
D105	t-j.ru	T J	1	1	0	0	1	1	1	1	EDITORIAL_OR_PUBLISHER:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R11-19
D106	tablichki.tech	Tablichki	5	5	1	3	2	4	3	3	THIRD_PARTY_PRODUCT_VENDOR:5	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S03-12 | R02-06 | R03-06 | R05-11 | R08-02
D107	tbank.ru	Tbank	7	6	3	5	1	7	4	4	EDITORIAL_OR_PUBLISHER:7	2	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S01-04 | R04R1-03 | R05-01 | R05-05 | R07-04 | R11-03 | R12-12
D108	timeweb.com	Timeweb	1	1	0	0	1	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R12-13
D109	tochka.com	Tochka	10	5	1	5	3	10	7	4	EDITORIAL_OR_PUBLISHER:10	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R01-03 | R05-10 | R05-13 | R07-07 | R07-11 | R09-07 | R09-14 | R09-18 | R11-06 | R11-08
D110	topseller.ru	Topseller	1	1	0	0	1	1	0	0	SERVICE_OR_AGENCY:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R06-19
D111	topvisor.com	Topvisor	1	1	0	0	1	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R12-11
D112	torgstat.ru	Torgstat	2	2	0	0	2	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:2	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R04R1-17 | R08-20
D113	totalcrm.ru	Totalcrm	2	1	1	1	0	2	1	1	EDITORIAL_OR_PUBLISHER:1 | THIRD_PARTY_PRODUCT_VENDOR:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R05-02 | R05-03
D114	truestats.ru	Truestats	1	1	0	0	1	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R04R1-14
D115	tulpari.ru	Tulpari	1	1	0	1	0	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S03-07
D116	uniseller.io	Uniseller	2	2	0	1	1	2	1	1	EDITORIAL_OR_PUBLISHER:1 | THIRD_PARTY_PRODUCT_VENDOR:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S01-12 | R05-08
D117	vc.ru	VC.ru	19	8	3	5	6	17	9	5	EDITORIAL_OR_PUBLISHER:19	7	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S02-02 | S03-03 | R01-08 | R01-12 | R01-18 | R02-12 | R02-15 | R02-19 | R03-12 | R03-18 | R09-08 | R09-15 | R10-12 | R12-01 | R12-05 | R12-07 | R12-08 | R12-09 | R12-20
D118	velesradar.ru	Velesradar	1	1	0	0	1	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R10-17
D119	wbcon.ru	Wbcon	5	3	0	1	3	3	1	1	SERVICE_OR_AGENCY:1 | THIRD_PARTY_PRODUCT_VENDOR:4	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R02-13 | R02-17 | R03-10 | R03-16 | R10-16
D120	wbstat.pro	Wbstat	4	3	0	2	1	4	4	3	EDITORIAL_OR_PUBLISHER:2 | OTHER:1 | THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R07-17 | R10-06 | R10-07 | R11-05
D121	wildberries.ru	Wildberries	6	4	4	4	1	6	6	4	NATIVE_MARKETPLACE:6	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R07-01 | R09-02 | R09-04 | R10-01 | R11-01 | R11-12
D122	wildcrm.ru	Wildcrm	2	2	0	1	1	2	2	2	EDITORIAL_OR_PUBLISHER:1 | THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R09-13 | R10-08
D123	xway.ru	Xway	1	1	0	0	1	1	0	0	THIRD_PARTY_PRODUCT_VENDOR:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R02-16
D124	yandex.ru	Yandex	3	3	1	3	0	3	3	3	AGGREGATOR_OR_DIRECTORY:3	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R07-03 | R08-09 | R12-04
D125	yoolip.ai	Yoolip	2	2	0	1	1	1	2	2	THIRD_PARTY_PRODUCT_VENDOR:2	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R04R1-15 | R08-04
D126	youtube.com	YouTube	12	4	0	1	4	9	1	1	EDITORIAL_OR_PUBLISHER:12	4	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S03-20 | R01-16 | R01-19 | R02-18 | R02-20 | R03-05 | R03-09 | R03-11 | R03-13 | R03-14 | R03-15 | R03-20
D127	zinaida.pro	Zinaida	1	1	1	1	0	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S03-02
