m5_hypothesis_id	hypothesis_comparison_key	marketplace_scope	task_or_intent_scope	direct_current_query_ids	direct_m10a_cluster_ids	direct_link_count	non_direct_candidate_cluster_ids	final_disposition	selected_case_ids	disposition_basis	expected_information_gain_summary	evidence_refs	claim_boundary
M5H00023	sellmonitor mcp внутренней аналитики: подключение к ai-ассистенту	MARKETPLACE_UNSPECIFIED	seller-owned store analytics versus external market intelligence or promised automation	M4QR2Q00027 | M4QR2Q00042	M9CL_db048338baaeca8c | M9CL_ed2d7aae5a2e620a	2	NONE_NOT_AUTHORIZED	SELECT_FINAL_AI_DIAGNOSTIC	M10BCASE_d3950384418e3bbd	Exact query M4QR2Q00042 names frozen cluster M9CL_ed2d7aae5a2e620a and 22 causally compatible material HOLD pair IDs found in a full 1399-pair scan; OWNED_VS_EXTERNAL_ANALYTICS has distinct causal page-role/owner uncertainty. Other M5 query mentions are contextual, not automatically selected.	Compare source types and claims for owned reports versus external intelligence; test whether the frozen analytics owner/page-role HOLD could later be de-risked or stay unresolved.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00023 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00027 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_db048338baaeca8c | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00042 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_ed2d7aae5a2e620a	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00024	sellmonitor: данные маркетплейсов теперь можно анализировать через ии	OZON_AND_WILDBERRIES	seller-owned store analytics versus external market intelligence or promised automation	M4QR2Q00027 | M4QR2Q00042	M9CL_db048338baaeca8c | M9CL_ed2d7aae5a2e620a	2	NONE_NOT_AUTHORIZED	SELECT_FINAL_AI_DIAGNOSTIC	M10BCASE_93993613e7003b69	Exact query M4QR2Q00027 names frozen cluster M9CL_db048338baaeca8c and 22 causally compatible material HOLD pair IDs found in a full 1399-pair scan; OWNED_VS_EXTERNAL_ANALYTICS has distinct causal page-role/owner uncertainty. Other M5 query mentions are contextual, not automatically selected.	Compare source types and claims for owned reports versus external intelligence; test whether the frozen analytics owner/page-role HOLD could later be de-risked or stay unresolved.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00024 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00027 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_db048338baaeca8c | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00042 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_ed2d7aae5a2e620a	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00025	нейросети wildberries и ozon: ии-инструменты в кабинете продавца	OZON_AND_WILDBERRIES	native marketplace AI assistant versus the user-selected LLM bridge	M4QR2Q00006 | M4QR2Q00007 | M4QR2Q00026 | M4QR2Q00028	M9CL_02025a258eff8c3d | M9CL_086ce4445a21d4fd | M9CL_b875735bfe0783e3 | M9CL_f0e07ec6b2f588c0	4	NONE_NOT_AUTHORIZED	SELECT_FINAL_AI_DIAGNOSTIC	M10BCASE_975659397140bfbd	Exact query M4QR2Q00026 names frozen cluster M9CL_02025a258eff8c3d and 5 causally compatible material HOLD pair IDs found in a full 1399-pair scan; NATIVE_VS_BRIDGE has distinct causal page-role/owner uncertainty. Other M5 query mentions are contextual, not automatically selected.	Observe whether cited source roles distinguish native functionality from bring-your-own-LLM workflows; evaluate possible causal impact on the named cluster page-role HOLD.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00025 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00006 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_b875735bfe0783e3 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00007 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_086ce4445a21d4fd | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00026 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_02025a258eff8c3d | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00028 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_f0e07ec6b2f588c0	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00026	ии-агент для wildberries: ответы по продажам, остаткам и отзывам прямо в чате	WILDBERRIES	native marketplace AI assistant versus the user-selected LLM bridge	M4QR2Q00006 | M4QR2Q00007 | M4QR2Q00026 | M4QR2Q00028	M9CL_02025a258eff8c3d | M9CL_086ce4445a21d4fd | M9CL_b875735bfe0783e3 | M9CL_f0e07ec6b2f588c0	4	NONE_NOT_AUTHORIZED	SELECT_FINAL_AI_DIAGNOSTIC	M10BCASE_a6a64d20ed4e5695	Exact query M4QR2Q00006 names frozen cluster M9CL_b875735bfe0783e3 and 3 causally compatible material HOLD pair IDs found in a full 1399-pair scan; NATIVE_VS_BRIDGE has distinct causal page-role/owner uncertainty. Other M5 query mentions are contextual, not automatically selected.	Observe whether cited source roles distinguish native functionality from bring-your-own-LLM workflows; evaluate possible causal impact on the named cluster page-role HOLD.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00026 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00006 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_b875735bfe0783e3 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00007 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_086ce4445a21d4fd | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00026 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_02025a258eff8c3d | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00028 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_f0e07ec6b2f588c0	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00027	ии-агент для wildberries: аналитика магазина в чате — суперинтеллект	WILDBERRIES	native marketplace AI assistant versus the user-selected LLM bridge	M4QR2Q00006 | M4QR2Q00007 | M4QR2Q00026 | M4QR2Q00028	M9CL_02025a258eff8c3d | M9CL_086ce4445a21d4fd | M9CL_b875735bfe0783e3 | M9CL_f0e07ec6b2f588c0	4	NONE_NOT_AUTHORIZED	COVERED_BY_SELECTED_CASE	M10BCASE_a6a64d20ed4e5695	Lossless diagnostic coverage by M5H00026: identical accepted M5 uncertainty, marketplace and task scope; identical exact executable query M4QR2Q00006, primary M10A cluster and later decision impact. No loss of source identity or special marketplace task.	Same M10A diagnostic as selected M5H00026; all M5 lineage retained in case and cluster XREF.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00027 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00006 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_b875735bfe0783e3 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00007 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_086ce4445a21d4fd | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00026 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_02025a258eff8c3d | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00028 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_f0e07ec6b2f588c0	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00028	ии-агент для продавца ozon: ответы по товарам, заказам и финансам прямо в чате	OZON	seller-owned report reading and delivery versus statutory reconciliation or accounting	M4QR2Q00012 | M4QR2Q00025 | M4QR2Q00032 | M4QR2Q00033 | M4QR2Q00035 | M4QR2Q00036	M9CL_0ac1770f2755faaf | M9CL_4a7d76c662c7f172 | M9CL_5807efab0bbb4b64 | M9CL_5aa7113efc724f06 | M9CL_88cb2602f75e6f48 | M9CL_c71fcf5e270aecd7	6	NONE_NOT_AUTHORIZED	HOLD_AMBIGUOUS_M10A_LINK	NONE	Mechanical query citation exists, but accepted M5 source-specific LLM/marketplace/task or unsupported mutation/accounting nuance differs materially from the generic direct query; selected generic prompt would not test that nuance without a rewritten query. No coverage by a non-equivalent case.	UNPROVEN under the exact current-query prompt; HOLD until a materially matching diagnostic can be justified.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00028 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00012 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_c71fcf5e270aecd7 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00025 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_5807efab0bbb4b64 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00032 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_0ac1770f2755faaf | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00033 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_88cb2602f75e6f48 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00035 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_5aa7113efc724f06 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00036 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_4a7d76c662c7f172	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00029	нейросети для описаний товаров на wildberries и ozon — инструкция	OZON_AND_WILDBERRIES	operational card review and preparation versus image generation or automatic publication	NONE	NONE	0	NONE_NOT_AUTHORIZED	NO_MATERIAL_M10A_DECISION_LINK	NONE	No direct current query and no defensible task/intent, marketplace, product-boundary and accepted M5 Search-context match to a named M10A owner/page-role HOLD; source wording or topic resemblance does not authorize a case.	UNPROVEN; revisit only with accepted, task-specific M10A and M5 linkage evidence.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00029 | NO_DIRECT_CURRENT_QUERY_LINK	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00030	seo-тексты для wildberries и ozon: как нейросети пишут карточки, которые продают	OZON_AND_WILDBERRIES	operational card review and preparation versus image generation or automatic publication	NONE	NONE	0	NONE_NOT_AUTHORIZED	NO_MATERIAL_M10A_DECISION_LINK	NONE	No direct current query and no defensible task/intent, marketplace, product-boundary and accepted M5 Search-context match to a named M10A owner/page-role HOLD; source wording or topic resemblance does not authorize a case.	UNPROVEN; revisit only with accepted, task-specific M10A and M5 linkage evidence.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00030 | NO_DIRECT_CURRENT_QUERY_LINK	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00031	mcp для селлеров: как подключить ии-агента к wildberries, ozon и яндекс маркету	OZON_AND_WILDBERRIES	chosen LLM to authorized seller data versus generic third-party integrations	M4QR2Q00001 | M4QR2Q00002 | M4QR2Q00013 | M4QR2Q00037	M9CL_3f05678ef9d62960 | M9CL_710c43ac2fdf4cc7 | M9CL_bae58ac9423f9f3c | M9CL_ddc2616f80ca85b6	4	NONE_NOT_AUTHORIZED	HOLD_AMBIGUOUS_M10A_LINK	NONE	Mechanical query citation exists, but accepted M5 source-specific LLM/marketplace/task or unsupported mutation/accounting nuance differs materially from the generic direct query; selected generic prompt would not test that nuance without a rewritten query. No coverage by a non-equivalent case.	UNPROVEN under the exact current-query prompt; HOLD until a materially matching diagnostic can be justified.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00031 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00001 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_bae58ac9423f9f3c | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00002 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_ddc2616f80ca85b6 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00013 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_710c43ac2fdf4cc7 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00037 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_3f05678ef9d62960	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00032	ии-агент для wildberries и ozon: как подключить ии прямо к кабинету продавца	OZON_AND_WILDBERRIES	LLM connection tools versus creative tools or unrelated service listings	M4QR2Q00030	M9CL_8cd3918c2ea1fde7	1	NONE_NOT_AUTHORIZED	NO_MATERIAL_M10A_DECISION_LINK	NONE	Direct lexical query citation belongs to analytics-service comparison while this M5 uncertainty asks about LLM connector/other service roles; no causal match to that frozen cluster HOLD.	UNPROVEN under the exact current-query prompt; HOLD until a materially matching diagnostic can be justified.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00032 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00030 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_8cd3918c2ea1fde7	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00033	как читать и анализировать отчеты о продажах на wildberries	WILDBERRIES	seller-owned report reading and delivery versus statutory reconciliation or accounting	M4QR2Q00012 | M4QR2Q00025 | M4QR2Q00032 | M4QR2Q00033 | M4QR2Q00035 | M4QR2Q00036	M9CL_0ac1770f2755faaf | M9CL_4a7d76c662c7f172 | M9CL_5807efab0bbb4b64 | M9CL_5aa7113efc724f06 | M9CL_88cb2602f75e6f48 | M9CL_c71fcf5e270aecd7	6	NONE_NOT_AUTHORIZED	SELECT_FINAL_AI_DIAGNOSTIC	M10BCASE_905d903673405cdf	Exact query M4QR2Q00032 names frozen cluster M9CL_0ac1770f2755faaf and 29 causally compatible material HOLD pair IDs found in a full 1399-pair scan; OFFICIAL_VS_VENDOR_REPORT has distinct causal page-role/owner uncertainty. Other M5 query mentions are contextual, not automatically selected.	Capture official versus third-party report citations and answer framing; test one named report-reading HOLD and associated unresolved material boundaries.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00033 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00012 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_c71fcf5e270aecd7 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00025 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_5807efab0bbb4b64 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00032 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_0ac1770f2755faaf | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00033 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_88cb2602f75e6f48 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00035 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_5aa7113efc724f06 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00036 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_4a7d76c662c7f172	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00034	как скачать отчёт о продажах на wildberries	WILDBERRIES	seller-owned report reading and delivery versus statutory reconciliation or accounting	M4QR2Q00012 | M4QR2Q00025 | M4QR2Q00032 | M4QR2Q00033 | M4QR2Q00035 | M4QR2Q00036	M9CL_0ac1770f2755faaf | M9CL_4a7d76c662c7f172 | M9CL_5807efab0bbb4b64 | M9CL_5aa7113efc724f06 | M9CL_88cb2602f75e6f48 | M9CL_c71fcf5e270aecd7	6	NONE_NOT_AUTHORIZED	HOLD_AMBIGUOUS_M10A_LINK	NONE	Mechanical query citation exists, but accepted M5 source-specific LLM/marketplace/task or unsupported mutation/accounting nuance differs materially from the generic direct query; selected generic prompt would not test that nuance without a rewritten query. No coverage by a non-equivalent case.	UNPROVEN under the exact current-query prompt; HOLD until a materially matching diagnostic can be justified.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00034 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00012 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_c71fcf5e270aecd7 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00025 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_5807efab0bbb4b64 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00032 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_0ac1770f2755faaf | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00033 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_88cb2602f75e6f48 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00035 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_5aa7113efc724f06 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00036 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_4a7d76c662c7f172	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00035	как искать ключевые слова для вайлдберриз	WILDBERRIES	seller search-query report versus buyer navigation and external SEO tools	NONE	NONE	0	NONE_NOT_AUTHORIZED	HOLD_AMBIGUOUS_M10A_LINK	NONE	No direct current exact Search query; seller financial/search-report context is adjacent to some M10A report tasks, but exact task/marketplace/product fit plus material M5 Search context for an executable diagnostic is unproven. No lexical-only mapping or source-title prompt released.	UNPROVEN; revisit only with accepted, task-specific M10A and M5 linkage evidence.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00035 | NO_DIRECT_CURRENT_QUERY_LINK	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00036	ключевые фразы для вб	WILDBERRIES	seller search-query report versus buyer navigation and external SEO tools	NONE	NONE	0	NONE_NOT_AUTHORIZED	HOLD_AMBIGUOUS_M10A_LINK	NONE	No direct current exact Search query; seller financial/search-report context is adjacent to some M10A report tasks, but exact task/marketplace/product fit plus material M5 Search context for an executable diagnostic is unproven. No lexical-only mapping or source-title prompt released.	UNPROVEN; revisit only with accepted, task-specific M10A and M5 linkage evidence.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00036 | NO_DIRECT_CURRENT_QUERY_LINK	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00037	как рассчитать чистую прибыль на вайлдберриз	WILDBERRIES	seller-data profit/margin explanation versus statutory accounting or unverified cost inputs	NONE	NONE	0	NONE_NOT_AUTHORIZED	HOLD_AMBIGUOUS_M10A_LINK	NONE	No direct current exact Search query; seller financial/search-report context is adjacent to some M10A report tasks, but exact task/marketplace/product fit plus material M5 Search context for an executable diagnostic is unproven. No lexical-only mapping or source-title prompt released.	UNPROVEN; revisit only with accepted, task-specific M10A and M5 linkage evidence.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00037 | NO_DIRECT_CURRENT_QUERY_LINK	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
