pair_id	semantic_identity_id_a	semantic_identity_id_b	canonical_text_a	canonical_text_b	anchor_availability_class	current_query_id_a	current_query_id_b	material_hold_verified	provider_information_gain_class	terminal_search_only_disposition	why_no_current_search_call	carry_forward_state	reopen_trigger	evidence_refs	claim_boundary
M9PAIR_38c5b6baf87f02d8	M8SID_0943a1068e9402f4	M8SID_c6b3851b9dcf0b07	загрузка отчетов с маркетплейсов	отчет о списаниях маркетплейс	ANCHOR_TO_ANCHOR	M4QR2Q00025	M4QR2Q00034	YES	CURRENT_EXACT_SEARCH_ALREADY_PRESENT	TERMINAL_CURRENT_SEARCH_CONFLICT	Both accepted exact current Search snapshots exist; repeating either query in the same context has no proven incremental boundary information.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_CURRENT_SEARCH_EVIDENCE_OR_NEW_ACCEPTED_AUTHORITY	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_38c5b6baf87f02d8 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00307 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_38d47347fd4a109e	M8SID_50ea99098ca3f75a	M8SID_f1b688e71eecda16	бесплатная аналитика маркетплейсов расширение	программы аналитика маркетплейсов	ANCHOR_TO_ANCHOR	M9BRQ_017_50ea99098ca3f75a	M9BRQ_020_f1b688e71eecda16	YES	CURRENT_EXACT_SEARCH_ALREADY_PRESENT	TERMINAL_CURRENT_SEARCH_CONFLICT	Both accepted exact current Search snapshots exist; repeating either query in the same context has no proven incremental boundary information.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_CURRENT_SEARCH_EVIDENCE_OR_NEW_ACCEPTED_AUTHORITY	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_38d47347fd4a109e | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00308 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_38eaa21cddf5dbb5	M8SID_b494df2d754aba5f	M8SID_ed858336de500ab2	Отчет «География» в разделах «Продавцы» и «Бренды»	Внутренняя аналитика Wildberries: карта отчётов и еженедельный разбор	NONANCHOR_TO_NONANCHOR	NONE	NONE	YES	MISSING_SAFE_EXACT_QUERY_AUTHORITY	HOLD_NO_SAFE_EXACT_QUERY_AUTHORITY	Unanchored endpoint(s) have only page-title/source-derived or ambiguous query forms; no safe exact query with positive current HOLD gain exists.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY_OR_LATER_CAUSAL_EVIDENCE	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_38eaa21cddf5dbb5 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00309 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_3936a87b64f44b75	M8SID_21a051e61744f9fa	M8SID_c65a5e24dfdb39bc	Сверка отчётов и выплат Wildberries: статусы, источники и контрольные суммы	отчет маркетплейса вайлдберриз	ANCHOR_TO_NONANCHOR	NONE	M4QR2Q00032	YES	MISSING_SAFE_EXACT_QUERY_AUTHORITY	HOLD_NO_SAFE_EXACT_QUERY_AUTHORITY	Unanchored endpoint(s) have only page-title/source-derived or ambiguous query forms; no safe exact query with positive current HOLD gain exists.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY_OR_LATER_CAUSAL_EVIDENCE	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_3936a87b64f44b75 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00310 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_394efa196b6a7a6b	M8SID_50e949b2f6a4c494	M8SID_c6b3851b9dcf0b07	Работа c маркетплейсом: отчеты и аналитика	отчет о списаниях маркетплейс	ANCHOR_TO_NONANCHOR	NONE	M4QR2Q00034	YES	MISSING_SAFE_EXACT_QUERY_AUTHORITY	HOLD_NO_SAFE_EXACT_QUERY_AUTHORITY	Unanchored endpoint(s) have only page-title/source-derived or ambiguous query forms; no safe exact query with positive current HOLD gain exists.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY_OR_LATER_CAUSAL_EVIDENCE	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_394efa196b6a7a6b | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00311 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_39572f4018cd69ed	M8SID_91db5a13422632c2	M8SID_f5fd17b7b76a574d	дрр wildberries	ДРР на Wildberries и Ozon: что это, формула и какая норма	ANCHOR_TO_NONANCHOR	M4QR2Q00024	NONE	YES	MISSING_SAFE_EXACT_QUERY_AUTHORITY	HOLD_NO_SAFE_EXACT_QUERY_AUTHORITY	Unanchored endpoint(s) have only page-title/source-derived or ambiguous query forms; no safe exact query with positive current HOLD gain exists.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY_OR_LATER_CAUSAL_EVIDENCE	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_39572f4018cd69ed | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00312 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_3970eb632c7ea9de	M8SID_544e197891683f4c	M8SID_def0afbc32106614	Аналитика продавца Wildberries: как читать отчёты и находить точки роста	Сводный отчёт по продавцу	NONANCHOR_TO_NONANCHOR	NONE	NONE	YES	MISSING_SAFE_EXACT_QUERY_AUTHORITY	HOLD_NO_SAFE_EXACT_QUERY_AUTHORITY	Unanchored endpoint(s) have only page-title/source-derived or ambiguous query forms; no safe exact query with positive current HOLD gain exists.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY_OR_LATER_CAUSAL_EVIDENCE	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_3970eb632c7ea9de | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00313 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_39db7f629a804950	M8SID_81a0551c95b1343e	M8SID_a0eeffff2d867dcb	Отчет по операциям с маркетплейса	Отчёт по возвратам Wildberries: разбор операций и удержаний	NONANCHOR_TO_NONANCHOR	NONE	NONE	YES	MISSING_SAFE_EXACT_QUERY_AUTHORITY	HOLD_NO_SAFE_EXACT_QUERY_AUTHORITY	Unanchored endpoint(s) have only page-title/source-derived or ambiguous query forms; no safe exact query with positive current HOLD gain exists.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY_OR_LATER_CAUSAL_EVIDENCE	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_39db7f629a804950 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00314 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_39e8b92b527236f9	M8SID_15cbb2efd88933f0	M8SID_ad9d528ae20638a6	плагин аналитики маркетплейсов	сервис аналитики на маркетплейсах отзывы	ANCHOR_TO_ANCHOR	M9BRQ_011_15cbb2efd88933f0	M9BRQ_025_ad9d528ae20638a6	YES	CURRENT_EXACT_SEARCH_ALREADY_PRESENT	TERMINAL_CURRENT_SEARCH_CONFLICT	Both accepted exact current Search snapshots exist; repeating either query in the same context has no proven incremental boundary information.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_CURRENT_SEARCH_EVIDENCE_OR_NEW_ACCEPTED_AUTHORITY	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_39e8b92b527236f9 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00315 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_3a2502b5e27935cc	M8SID_8332eb45850054b1	M8SID_f1b688e71eecda16	ии аналитика маркетплейсов	программы аналитика маркетплейсов	ANCHOR_TO_ANCHOR	M9BRQ_005_8332eb45850054b1	M9BRQ_020_f1b688e71eecda16	YES	CURRENT_EXACT_SEARCH_ALREADY_PRESENT	TERMINAL_CURRENT_SEARCH_CONFLICT	Both accepted exact current Search snapshots exist; repeating either query in the same context has no proven incremental boundary information.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_CURRENT_SEARCH_EVIDENCE_OR_NEW_ACCEPTED_AUTHORITY	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_3a2502b5e27935cc | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00316 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_3a353e1d83570369	M8SID_644f4afb78dc957a	M8SID_c673d63396e872d3	отчеты маркетплейсов	Внутренняя аналитика WILDBERRIES. Как читать отчеты в личном кабинете?	ANCHOR_TO_NONANCHOR	M4QR2Q00035	NONE	YES	MISSING_SAFE_EXACT_QUERY_AUTHORITY	HOLD_NO_SAFE_EXACT_QUERY_AUTHORITY	Unanchored endpoint(s) have only page-title/source-derived or ambiguous query forms; no safe exact query with positive current HOLD gain exists.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY_OR_LATER_CAUSAL_EVIDENCE	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_3a353e1d83570369 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00317 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_3a3ce13f391d67c0	M8SID_50e949b2f6a4c494	M8SID_8332eb45850054b1	Работа c маркетплейсом: отчеты и аналитика	ии аналитика маркетплейсов	ANCHOR_TO_NONANCHOR	NONE	M9BRQ_005_8332eb45850054b1	YES	MISSING_SAFE_EXACT_QUERY_AUTHORITY	HOLD_NO_SAFE_EXACT_QUERY_AUTHORITY	Unanchored endpoint(s) have only page-title/source-derived or ambiguous query forms; no safe exact query with positive current HOLD gain exists.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY_OR_LATER_CAUSAL_EVIDENCE	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_3a3ce13f391d67c0 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00318 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_3a7d9976b378c731	M8SID_853c71e68bd46c94	M8SID_f326261dec0f180d	Аналитика вайлдберриз: в каком отчете верные данные	аналитика показателей продавца	ANCHOR_TO_NONANCHOR	NONE	M9BRQ_001_f326261dec0f180d	YES	MISSING_SAFE_EXACT_QUERY_AUTHORITY	HOLD_NO_SAFE_EXACT_QUERY_AUTHORITY	Unanchored endpoint(s) have only page-title/source-derived or ambiguous query forms; no safe exact query with positive current HOLD gain exists.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY_OR_LATER_CAUSAL_EVIDENCE	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_3a7d9976b378c731 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00319 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_3ac17d4aaafe901a	M8SID_0943a1068e9402f4	M8SID_544e197891683f4c	загрузка отчетов с маркетплейсов	Аналитика продавца Wildberries: как читать отчёты и находить точки роста	ANCHOR_TO_NONANCHOR	M4QR2Q00025	NONE	YES	MISSING_SAFE_EXACT_QUERY_AUTHORITY	HOLD_NO_SAFE_EXACT_QUERY_AUTHORITY	Unanchored endpoint(s) have only page-title/source-derived or ambiguous query forms; no safe exact query with positive current HOLD gain exists.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY_OR_LATER_CAUSAL_EVIDENCE	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_3ac17d4aaafe901a | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00320 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_3b91dcda56b2b16f	M8SID_17638a451bed5dec	M8SID_ce7224790a6414bc	сервис внутренней аналитики маркетплейсов	Аналитика Wildberries: ТОП показателей и инструментов	ANCHOR_TO_NONANCHOR	M9BRQ_012_17638a451bed5dec	NONE	YES	MISSING_SAFE_EXACT_QUERY_AUTHORITY	HOLD_NO_SAFE_EXACT_QUERY_AUTHORITY	Unanchored endpoint(s) have only page-title/source-derived or ambiguous query forms; no safe exact query with positive current HOLD gain exists.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY_OR_LATER_CAUSAL_EVIDENCE	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_3b91dcda56b2b16f | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00321 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_3bd2db2ce67b84e3	M8SID_3b92dfcc2a1d077e	M8SID_ce7224790a6414bc	сервис аналитика продаж на маркетплейсах	Аналитика Wildberries: ТОП показателей и инструментов	ANCHOR_TO_NONANCHOR	M9BRQ_013_3b92dfcc2a1d077e	NONE	YES	MISSING_SAFE_EXACT_QUERY_AUTHORITY	HOLD_NO_SAFE_EXACT_QUERY_AUTHORITY	Unanchored endpoint(s) have only page-title/source-derived or ambiguous query forms; no safe exact query with positive current HOLD gain exists.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY_OR_LATER_CAUSAL_EVIDENCE	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_3bd2db2ce67b84e3 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00322 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_3bffe96889e6dc1b	M8SID_853c71e68bd46c94	M8SID_b5ea13003e4c370e	Аналитика вайлдберриз: в каком отчете верные данные	где скачать отчет о выкупах маркетплейсов	ANCHOR_TO_NONANCHOR	NONE	M9BRW2Q_008_b5ea13003e4c370e	YES	MISSING_SAFE_EXACT_QUERY_AUTHORITY	HOLD_NO_SAFE_EXACT_QUERY_AUTHORITY	Unanchored endpoint(s) have only page-title/source-derived or ambiguous query forms; no safe exact query with positive current HOLD gain exists.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY_OR_LATER_CAUSAL_EVIDENCE	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_3bffe96889e6dc1b | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00323 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_3c00a60f5e14562c	M8SID_50e949b2f6a4c494	M8SID_fec20a96bbee4f45	Работа c маркетплейсом: отчеты и аналитика	Статистика и аналитика продаж на Wildberries	NONANCHOR_TO_NONANCHOR	NONE	NONE	YES	MISSING_SAFE_EXACT_QUERY_AUTHORITY	HOLD_NO_SAFE_EXACT_QUERY_AUTHORITY	Unanchored endpoint(s) have only page-title/source-derived or ambiguous query forms; no safe exact query with positive current HOLD gain exists.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY_OR_LATER_CAUSAL_EVIDENCE	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_3c00a60f5e14562c | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00324 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_3c236f9059cf3429	M8SID_4d97378705ba844a	M8SID_afe48225d34ce12b	плагин аналитика маркетплейсов	лучшие сервисы аналитики маркетплейсов	ANCHOR_TO_ANCHOR	M9BRQ_015_4d97378705ba844a	M4QR2Q00030	YES	CURRENT_EXACT_SEARCH_ALREADY_PRESENT	TERMINAL_CURRENT_SEARCH_CONFLICT	Both accepted exact current Search snapshots exist; repeating either query in the same context has no proven incremental boundary information.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_CURRENT_SEARCH_EVIDENCE_OR_NEW_ACCEPTED_AUTHORITY	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_3c236f9059cf3429 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00325 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_3c65b594e0979483	M8SID_437d0cbcb94b3694	M8SID_ce7224790a6414bc	программа аналитики маркетплейсов	Аналитика Wildberries: ТОП показателей и инструментов	ANCHOR_TO_NONANCHOR	M9BRW2Q_001_437d0cbcb94b3694	NONE	YES	MISSING_SAFE_EXACT_QUERY_AUTHORITY	HOLD_NO_SAFE_EXACT_QUERY_AUTHORITY	Unanchored endpoint(s) have only page-title/source-derived or ambiguous query forms; no safe exact query with positive current HOLD gain exists.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY_OR_LATER_CAUSAL_EVIDENCE	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_3c65b594e0979483 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00326 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_3c873a5b9c477057	M8SID_171a63d986f4ed26	M8SID_21a051e61744f9fa	финансовые отчеты маркетплейсов	Сверка отчётов и выплат Wildberries: статусы, источники и контрольные суммы	ANCHOR_TO_NONANCHOR	M9BRQ_008_171a63d986f4ed26	NONE	YES	MISSING_SAFE_EXACT_QUERY_AUTHORITY	HOLD_NO_SAFE_EXACT_QUERY_AUTHORITY	Unanchored endpoint(s) have only page-title/source-derived or ambiguous query forms; no safe exact query with positive current HOLD gain exists.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY_OR_LATER_CAUSAL_EVIDENCE	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_3c873a5b9c477057 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00327 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_3cb6f6e679f7d1bd	M8SID_7455a5a41ec9db71	M8SID_a0b46005e544f2a9	Отчёт о реализации Wildberries: как читать финансовый отчёт и сверить выплату	Аналитика комиссии Wildberries: отчёты, сверка и контроль аномалий	NONANCHOR_TO_NONANCHOR	NONE	NONE	YES	MISSING_SAFE_EXACT_QUERY_AUTHORITY	HOLD_NO_SAFE_EXACT_QUERY_AUTHORITY	Unanchored endpoint(s) have only page-title/source-derived or ambiguous query forms; no safe exact query with positive current HOLD gain exists.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY_OR_LATER_CAUSAL_EVIDENCE	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_3cb6f6e679f7d1bd | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00328 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_3cea88b1f37b5e3b	M8SID_3ebb28124694e272	M8SID_ee6b9436900836db	отчеты продаж маркетплейсов	отчет маркетплейса озон	ANCHOR_TO_ANCHOR	M4QR2Q00036	M4QR2Q00033	YES	CURRENT_EXACT_SEARCH_ALREADY_PRESENT	TERMINAL_CURRENT_SEARCH_CONFLICT	Both accepted exact current Search snapshots exist; repeating either query in the same context has no proven incremental boundary information.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_CURRENT_SEARCH_EVIDENCE_OR_NEW_ACCEPTED_AUTHORITY	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_3cea88b1f37b5e3b | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00329 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
