target_id	registry_id	ranking_url	best_current_rank	query_count	execution_query_ids	exact_query_texts	source_pass_b_file	source_relation	m4c_url_ledger_status	required_action	claim_boundary
M4QR2TR0043	REG042	https://selsup.ru/blog/top-gipotez-dlya-uvelicheniya-pribyli-ot-prodazh-na-marketplejsah/	5	1	M4QR2Q00039	прибыль на маркетплейсах	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0044	REG042	https://selsup.ru/blog/valovaya-pribyl-vyruchka-i-marzhinalnost-na-marketplejsah-ponyatiya-kotorye-nuzhno-znat-kazhdomu-selleru/	17	1	M4QR2Q00040	расчет прибыли на маркетплейсе	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0045	REG042	https://selsup.ru/help/zagruzka-otchetov-vruchnuyu/	8	1	M4QR2Q00025	загрузка отчетов с маркетплейсов	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0046	REG051	https://uniseller.io/blog/5-ii-agentov-dlya-sellerov-avtomatizatsiya-rutiny/	15	1	M4QR2Q00008	ии агенты для маркетплейсов	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0047	REG051	https://uniseller.io/blog/dolya-reklamnykh-raskhodov-wb-ozon-raschet-normy/	6	1	M4QR2Q00024	дрр wildberries	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0048	REG051	https://uniseller.io/blog/ii-na-marketplejsah-kak-prevratit-rutinu-v-pribyl/	16	1	M4QR2Q00028	ии помощник селлера	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0049	REG051	https://uniseller.io/blog/kak-chitat-otchet-o-realizacii-ozon/	7	2	M4QR2Q00012 || M4QR2Q00033	отчет маркетплейса озон || отчеты для селлеров маркетплейсов	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0050	REG051	https://uniseller.io/blog/kak-rabotat-v-kabinete-wildberries-seller/	10	1	M4QR2Q00029	как работать в кабинете wildberries	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0051	REG051	https://uniseller.io/blog/marzhinalnost-na-marketpleysakh-kak-schitat-i-ne-rabotat-v-minus/	4	1	M4QR2Q00031	маржинальность на маркетплейсах	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0052	REG051	https://uniseller.io/blog/reklama-wildberries-metriki-ctr-cr-cpo-ddr-roas/	18	1	M4QR2Q00024	дрр wildberries	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0053	REG051	https://uniseller.io/blog/wildberries-zapustil-ii-pomoshchnika-dlya-sellerov/	13	1	M4QR2Q00028	ии помощник селлера	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0054	REG053	https://seo.wbcon.ru/gpt-opisanie/	16	1	M4QR2Q00002	chatgpt для wildberries	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0055	REG053	https://wbcon.ru/2023/03/27/chatgpt-instruction-wb-ozon/	19	1	M4QR2Q00002	chatgpt для wildberries	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0056	REG053	https://wbcon.ru/popular-request/	9	1	M4QR2Q00038	поисковые запросы wildberries	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0057	REG056	https://wildcrm.ru/blog/accounting-and-taxes/tpost/od0uau3d91-otchet-o-realizatsii-tovara-wildberries	16	1	M4QR2Q00032	отчет маркетплейса вайлдберриз	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0058	REG056	https://wildcrm.ru/blog/finance/tpost/tpmd1sz001-kak-rasschitat-chistuyu-pribil-na-wildbe	16	1	M4QR2Q00044	чистая прибыль на маркетплейсе	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0059	REG056	https://wildcrm.ru/tpost/bb3addjfa1-drr-na-wildberries-kak-rasschitat-i-opti	1	1	M4QR2Q00024	дрр wildberries	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
