semantic_identity_id	cluster_id	cluster_state	m8_primary_state	canonical_display_text	task_signature_for_comparison	marketplace_scope	current_search_anchor_query_id	membership_basis	unresolved_external_material_hold_count	unmaterialized_supported_pair_count	upstream_m8_refs	claim_boundary
M8SID_a0eeffff2d867dcb	M9CL_fdfbaa2be042b32a	HOLD_CLUSTER_BOUNDARY	WORKING	Отчёт по возвратам Wildberries: разбор операций и удержаний	REPORT_RETURNS	WILDBERRIES	NONE	SINGLETON; 22 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	22	0	M8SID_a0eeffff2d867dcb; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_a5452022da8e1c54	M9CL_7b0e9f96b0e08782	HOLD_CLUSTER_BOUNDARY	WORKING	Аналитика Wildberries: отчёты, метрики и дашборды продавца	REPORT_GENERAL	WILDBERRIES	NONE	SINGLETON; 57 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	57	0	M8SID_a5452022da8e1c54; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_a6dbb52f9468a6a4	M9CL_ddc2616f80ca85b6	HOLD_CLUSTER_BOUNDARY	WORKING	chatgpt для wildberries	CONNECT_OWN_AI	WILDBERRIES	M4QR2Q00002	SINGLETON; 3 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	3	0	M8SID_a6dbb52f9468a6a4; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_a7efef13fa5d09dc	M9CL_3197bfc345204378	HOLD_CLUSTER_BOUNDARY	WORKING	ДРР на Wildberries — как рассчитать и оптимизировать	AD_PERFORMANCE	WILDBERRIES	NONE	SINGLETON; 20 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	20	0	M8SID_a7efef13fa5d09dc; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_a80ecbe39e0f75b9	M9CL_531649fa74ba4091	HOLD_CLUSTER_BOUNDARY	WORKING	Как читать и анализировать финансовый отчёт Wildberries	REPORT_FINANCIAL	WILDBERRIES	M9BRW2Q_014_a80ecbe39e0f75b9	SINGLETON; 28 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	28	0	M8SID_a80ecbe39e0f75b9; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_ad9d528ae20638a6	M9CL_9d52a57fe836056a	HOLD_CLUSTER_BOUNDARY	WORKING	сервис аналитики на маркетплейсах отзывы	ANALYTICS_COMPARE	GENERIC	M9BRQ_025_ad9d528ae20638a6	SINGLETON; 21 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	21	0	M8SID_ad9d528ae20638a6; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_aeb8b283519ced02	M9CL_66e02c398f10d742	HOLD_CLUSTER_BOUNDARY	WORKING	ии для продаж на маркетплейсах	TASK_UNRESOLVED	GENERIC	NONE	SINGLETON; 0 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	0	0	M8SID_aeb8b283519ced02; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_afe48225d34ce12b	M9CL_8cd3918c2ea1fde7	HOLD_CLUSTER_BOUNDARY	WORKING	лучшие сервисы аналитики маркетплейсов	ANALYTICS_COMPARE	GENERIC	M4QR2Q00030	SINGLETON; 17 material external HOLD pair(s); 4 supported pair(s) remain separately traceable.	17	4	M8SID_afe48225d34ce12b; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_b02e9e70557692e0	M9CL_f0e07ec6b2f588c0	HOLD_CLUSTER_BOUNDARY	WORKING	ии помощник селлера	DAILY_AI_HELP	UNSPECIFIED	M4QR2Q00028	SINGLETON; 14 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	14	0	M8SID_b02e9e70557692e0; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_b2c582967d3dea97	M9CL_584563dff9997c98	HOLD_CLUSTER_BOUNDARY	WORKING	Как читать финансовый отчет WILDBERRIES за 5 минут?	REPORT_FINANCIAL	WILDBERRIES	NONE	SINGLETON; 28 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	28	0	M8SID_b2c582967d3dea97; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_b494df2d754aba5f	M9CL_f667a169d39bce9d	HOLD_CLUSTER_BOUNDARY	WORKING	Отчет «География» в разделах «Продавцы» и «Бренды»	REPORT_GENERAL	UNSPECIFIED	NONE	SINGLETON; 60 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	60	0	M8SID_b494df2d754aba5f; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_b5ddcf597a798e80	M9CL_6950959fa0c762cf	HOLD_CLUSTER_BOUNDARY	WORKING	Удержания рядом с комиссией Wildberries: как разделить начисления в отчёте	REPORT_COMMISSION	WILDBERRIES	NONE	SINGLETON; 36 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	36	0	M8SID_b5ddcf597a798e80; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_b5ea13003e4c370e	M9CL_2f145a3b5c056ace	HOLD_CLUSTER_BOUNDARY	WORKING	где скачать отчет о выкупах маркетплейсов	REPORT_ACCESS	GENERIC	M9BRW2Q_008_b5ea13003e4c370e	SINGLETON; 41 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	41	0	M8SID_b5ea13003e4c370e; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_bc3305b7d5adfb2b	M9CL_b875735bfe0783e3	HOLD_CLUSTER_BOUNDARY	WORKING	ии агент для wildberries	DISCOVER_AI_ASSISTANT	WILDBERRIES	M4QR2Q00006	SINGLETON; 8 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	8	0	M8SID_bc3305b7d5adfb2b; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_c41c83a50b6900cb	M9CL_3291d5bba9e4f595	HOLD_CLUSTER_BOUNDARY	WORKING	ии агенты маркетплейсы отчеты	DISCOVER_AI_ASSISTANT	GENERIC	M9BRW2Q_007_c41c83a50b6900cb	SINGLETON; 10 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	10	0	M8SID_c41c83a50b6900cb; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_c4d7f4ca514dc5fd	M9CL_3e9cae524f2ba50c	HOLD_CLUSTER_BOUNDARY	WORKING	ии анализ продаж маркетплейсов	AI_ANALYTICS_USE	GENERIC	M9BRQ_006_c4d7f4ca514dc5fd	SINGLETON; 41 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	41	0	M8SID_c4d7f4ca514dc5fd; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_c65a5e24dfdb39bc	M9CL_0ac1770f2755faaf	HOLD_CLUSTER_BOUNDARY	WORKING	отчет маркетплейса вайлдберриз	REPORT_GENERAL	WILDBERRIES	M4QR2Q00032	SINGLETON; 43 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	43	0	M8SID_c65a5e24dfdb39bc; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_c673d63396e872d3	M9CL_896f32bed9216251	HOLD_CLUSTER_BOUNDARY	WORKING	Внутренняя аналитика WILDBERRIES. Как читать отчеты в личном кабинете?	REPORT_GENERAL	WILDBERRIES	NONE	SINGLETON; 57 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	57	0	M8SID_c673d63396e872d3; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_c6b3851b9dcf0b07	M9CL_80cd29d458ea642b	HOLD_CLUSTER_BOUNDARY	WORKING	отчет о списаниях маркетплейс	REPORT_COMMISSION	GENERIC	M4QR2Q00034	SINGLETON; 30 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	30	0	M8SID_c6b3851b9dcf0b07; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_c8bd772d7a8b9ccb	M9CL_ed5c38b4234094c0	HOLD_CLUSTER_BOUNDARY	WORKING	Как сверить отчёты маркетплейсов и найти скрытые удержания	REPORT_COMMISSION	GENERIC	NONE	SINGLETON; 30 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	30	0	M8SID_c8bd772d7a8b9ccb; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_c9ca51837b06e207	M9CL_c01618f4f985c5a6	HOLD_CLUSTER_BOUNDARY	WORKING	Отчёт «Поисковые запросы на WB»	REPORT_SEARCH_QUERIES	WILDBERRIES	NONE	SINGLETON; 21 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	21	0	M8SID_c9ca51837b06e207; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_c9cbb3939920b7ee	M9CL_ed2d7aae5a2e620a	HOLD_CLUSTER_BOUNDARY	WORKING	сервис аналитики маркетплейсов	ANALYTICS_TOOL	GENERIC	M4QR2Q00042	SINGLETON; 24 material external HOLD pair(s); 1 supported pair(s) remain separately traceable.	24	1	M8SID_c9cbb3939920b7ee; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_ce5c460b3a2124bb	M9CL_32544b5109994d76	HOLD_CLUSTER_BOUNDARY	WORKING	Воронка продаж на Wildberries: как сравнивать периоды и показатели площадки	REPORT_FUNNEL	WILDBERRIES	NONE	SINGLETON; 23 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	23	0	M8SID_ce5c460b3a2124bb; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_ce7224790a6414bc	M9CL_3fa365944fd8b8fa	HOLD_CLUSTER_BOUNDARY	WORKING	Аналитика Wildberries: ТОП показателей и инструментов	ANALYTICS_TOOL	WILDBERRIES	NONE	SINGLETON; 25 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	25	0	M8SID_ce7224790a6414bc; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_d0cfc29dc443bd98	M9CL_086ce4445a21d4fd	HOLD_CLUSTER_BOUNDARY	WORKING	ии агент для озон	DISCOVER_AI_ASSISTANT	OZON	M4QR2Q00007	SINGLETON; 9 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	9	0	M8SID_d0cfc29dc443bd98; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_d7ea4f8099802690	M9CL_da3ff89bebbefd96	HOLD_CLUSTER_BOUNDARY	WORKING	Интеграция ChatGPT (OpenAI) и Wildberries	CONNECT_OWN_AI	WILDBERRIES	NONE	SINGLETON; 4 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	4	0	M8SID_d7ea4f8099802690; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_d9a5cc3e810be381	M9CL_c71fcf5e270aecd7	HOLD_CLUSTER_BOUNDARY	WORKING	отчеты для селлеров маркетплейсов	REPORT_GENERAL	GENERIC	M4QR2Q00012	SINGLETON; 60 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	60	0	M8SID_d9a5cc3e810be381; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_dd5178f08e076841	M9CL_d6bd66a1598ad1e3	HOLD_CLUSTER_BOUNDARY	WORKING	Как читать финансовый отчёт Wildberries и сверять итоговую сумму	REPORT_FINANCIAL	WILDBERRIES	NONE	SINGLETON; 28 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	28	0	M8SID_dd5178f08e076841; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_def0afbc32106614	M9CL_50d7bf9bbe2a0dff	HOLD_CLUSTER_BOUNDARY	WORKING	Сводный отчёт по продавцу	REPORT_GENERAL	UNSPECIFIED	NONE	SINGLETON; 60 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	60	0	M8SID_def0afbc32106614; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_df79f0c3371689ed	M9CL_9f80eb481788313c	HOLD_CLUSTER_BOUNDARY	WORKING	Отчёт о продажах Wildberries: как читать и выгружать	REPORT_ACCESS	WILDBERRIES	NONE	SINGLETON; 48 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	48	0	M8SID_df79f0c3371689ed; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_e008cf0c1b28b363	M9CL_b89a6fbc6bd8bb18	HOLD_CLUSTER_BOUNDARY	WORKING	аналитика маркетплейсов с ии	AI_ANALYTICS_USE	GENERIC	M9BRQ_007_e008cf0c1b28b363	SINGLETON; 39 material external HOLD pair(s); 2 supported pair(s) remain separately traceable.	39	2	M8SID_e008cf0c1b28b363; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_e10faa73a1384257	M9CL_2fa2c003890cd17c	HOLD_CLUSTER_BOUNDARY	WORKING	отчеты для селлеров	REPORT_GENERAL	UNSPECIFIED	M9BRQ_004_e10faa73a1384257	SINGLETON; 45 material external HOLD pair(s); 1 supported pair(s) remain separately traceable.	45	1	M8SID_e10faa73a1384257; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_eaab889abab5ccd5	M9CL_f6913258126ccd8e	HOLD_CLUSTER_BOUNDARY	WORKING	ии для работы с маркетплейсами	DAILY_AI_HELP	GENERIC	M9BRW2Q_004_eaab889abab5ccd5	SINGLETON; 13 material external HOLD pair(s); 1 supported pair(s) remain separately traceable.	13	1	M8SID_eaab889abab5ccd5; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_ed13eac8643c4ddc	M9CL_e8b266b549420d15	HOLD_CLUSTER_BOUNDARY	WORKING	Интеграция Gemini AI и Ozon Seller	CONNECT_OWN_AI	OZON	NONE	SINGLETON; 1 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	1	0	M8SID_ed13eac8643c4ddc; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_ed858336de500ab2	M9CL_2637e53fc435b258	HOLD_CLUSTER_BOUNDARY	WORKING	Внутренняя аналитика Wildberries: карта отчётов и еженедельный разбор	REPORT_GENERAL	WILDBERRIES	NONE	SINGLETON; 57 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	57	0	M8SID_ed858336de500ab2; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_ee6b9436900836db	M9CL_88cb2602f75e6f48	HOLD_CLUSTER_BOUNDARY	WORKING	отчет маркетплейса озон	REPORT_GENERAL	OZON	M4QR2Q00033	SINGLETON; 22 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	22	0	M8SID_ee6b9436900836db; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_f1b688e71eecda16	M9CL_c8ef71d4b04d08cf	HOLD_CLUSTER_BOUNDARY	WORKING	программы аналитика маркетплейсов	ANALYTICS_TOOL	GENERIC	M9BRQ_020_f1b688e71eecda16	SINGLETON; 24 material external HOLD pair(s); 1 supported pair(s) remain separately traceable.	24	1	M8SID_f1b688e71eecda16; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_f326261dec0f180d	M9CL_9c53f9a6bb6116b6	HOLD_CLUSTER_BOUNDARY	WORKING	аналитика показателей продавца	REPORT_GENERAL	UNSPECIFIED	M9BRQ_001_f326261dec0f180d	SINGLETON; 60 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	60	0	M8SID_f326261dec0f180d; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_f56a9426dbf7f0a2	M9CL_e5b4c116e46d3dab	HOLD_CLUSTER_BOUNDARY	WORKING	сервис аналитика маркетплейсов бесплатно	ANALYTICS_TOOL	GENERIC	M9BRQ_021_f56a9426dbf7f0a2	SINGLETON; 24 material external HOLD pair(s); 1 supported pair(s) remain separately traceable.	24	1	M8SID_f56a9426dbf7f0a2; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_f5fd17b7b76a574d	M9CL_c1642637b2afc063	HOLD_CLUSTER_BOUNDARY	WORKING	ДРР на Wildberries и Ozon: что это, формула и какая норма	AD_PERFORMANCE	BOTH	NONE	SINGLETON; 21 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	21	0	M8SID_f5fd17b7b76a574d; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_f89f2eed596da6c9	M9CL_60ecfdfdf15511dc	HOLD_CLUSTER_BOUNDARY	WORKING	как загрузить отчеты маркетплейса	REPORT_ACCESS	GENERIC	M9BRW2Q_009_f89f2eed596da6c9	SINGLETON; 41 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	41	0	M8SID_f89f2eed596da6c9; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_fb4d67f1c380d11c	M9CL_ad507c7fc3cfea7a	HOLD_CLUSTER_BOUNDARY	WORKING	аналитика маркетплейсов топ сервисов	ANALYTICS_COMPARE	GENERIC	M9BRW2Q_002_fb4d67f1c380d11c	SINGLETON; 17 material external HOLD pair(s); 4 supported pair(s) remain separately traceable.	17	4	M8SID_fb4d67f1c380d11c; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_fd88d7d9e3b2e406	M9CL_3a8d523d2578edae	HOLD_CLUSTER_BOUNDARY	WORKING	chatgpt для маркетплейсов	CONNECT_OWN_AI	GENERIC	M4QR2Q00016	SINGLETON; 5 material external HOLD pair(s); 1 supported pair(s) remain separately traceable.	5	1	M8SID_fd88d7d9e3b2e406; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_fec20a96bbee4f45	M9CL_1590e99dd5f53a49	HOLD_CLUSTER_BOUNDARY	WORKING	Статистика и аналитика продаж на Wildberries	REPORT_SALES	WILDBERRIES	NONE	SINGLETON; 29 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	29	0	M8SID_fec20a96bbee4f45; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
