semantic_identity_id	canonical_display_text	m8_primary_state	m9_eligibility	current_exact_serp_state	current_query_id	query_form_class	query_form_basis	preacquisition_disposition	disposition_basis	unicode_codepoint_length	word_count	provider_limit_status	boundary_impact_ref	m8_demand_evidence_state	m8_demand_evidence_refs	claim_boundary
M8SID_7455a5a41ec9db71	Отчёт о реализации Wildberries: как читать финансовый отчёт и сверить выплату	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	PAGE_TITLE_OR_SOURCE_PHRASE	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	Exact source/title wording fails useful user-query proof; no rewrite.	77	11	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_7455a5a41ec9db71	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_78187c521b37867e	отчеты маркетплейсов примеры	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	WAVE1_SEARCH_CANDIDATE	Named one-sided HOLD; passed query/limits/duplicate gates; deterministic Wave 1 rank.	28	3	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_78187c521b37867e	M2R_DIRECT_RESULT	M2R:line=859:M2R/M2R-A03	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_7c14f16157d077b9	Отчёт по рекламе Wildberries: где смотреть и как анализировать	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	PAGE_TITLE_OR_SOURCE_PHRASE	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	Exact source/title wording fails useful user-query proof; no rewrite.	62	9	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_7c14f16157d077b9	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_7c23963a6f4bc9db	Сверка отчетов с Ozon	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	NATURAL_EXACT_SEARCH_PROBE_NO_DEMAND	Plain seller task of reconciling Ozon reports.	WAVE1_SEARCH_CANDIDATE	Named one-sided HOLD; passed query/limits/duplicate gates; deterministic Wave 1 rank.	21	4	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_7c23963a6f4bc9db	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_81a0551c95b1343e	Отчет по операциям с маркетплейса	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	AMBIGUOUS_QUERY_FORM	Could be a named accounting/report feature or a user query; source wording does not disambiguate.	QUERY_FORM_AMBIGUOUS_HOLD	Exact wording unresolved; no provider release.	33	5	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_81a0551c95b1343e	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_81d8f3590bddaaab	Как построить воронку продаж на маркетплейсе	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	NATURAL_EXACT_SEARCH_PROBE_NO_DEMAND	Complete standalone question about marketplace funnel analysis.	DEFER_SEARCH_CANDIDATE	Query passes gates; bounded first wave ranks earlier candidates higher.	44	6	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_81d8f3590bddaaab	NO_ACCEPTED_WORDSTAT_EVIDENCE; M6_VALID_EMPTY_LITERAL_TOP_NOT_ZERO_DEMAND	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_8332eb45850054b1	ии аналитика маркетплейсов	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	WAVE1_SEARCH_CANDIDATE	Named one-sided HOLD; passed query/limits/duplicate gates; deterministic Wave 1 rank.	26	3	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_8332eb45850054b1	M2R_DIRECT_RESULT	M2R:line=685:M2R/M2R-A01	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_83f33ee4e629a7c9	Как читать финансовый отчёт Wildberries и Ozon	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	NATURAL_EXACT_SEARCH_PROBE_NO_DEMAND	Complete standalone question about reading reports of both marketplaces.	DEFER_SEARCH_CANDIDATE	Query passes gates; bounded first wave ranks earlier candidates higher.	46	7	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_83f33ee4e629a7c9	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_853c71e68bd46c94	Аналитика вайлдберриз: в каком отчете верные данные	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	PAGE_TITLE_OR_SOURCE_PHRASE	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	Exact source/title wording fails useful user-query proof; no rewrite.	51	7	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_853c71e68bd46c94	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_8850a7f387c57a62	отчет для селлеров	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	WAVE1_SEARCH_CANDIDATE	Named one-sided HOLD; passed query/limits/duplicate gates; deterministic Wave 1 rank.	18	3	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_8850a7f387c57a62	M2R_DIRECT_RESULT	M2R:line=885:M2R/M2R-A04	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_8c1225a6582027f4	chatgpt для ozon	WORKING	CLUSTER_ELIGIBLE	CURRENT_EXACT_RU225	M4QR2Q00001	NOT_APPLICABLE_EXISTING_ANCHOR	Frozen current M9 Search anchor; no duplicate acquisition.	EXISTING_CURRENT_SEARCH_ANCHOR	Already mapped to current exact RU225 Search authority.	16	3	PASS		M2R_TOTALCOUNT_ONLY_SEED	M2R:line=300:B01/B01-10	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_8df9f34f2bb7e11a	ии агенты для маркетплейсов	WORKING	CLUSTER_ELIGIBLE	CURRENT_EXACT_RU225	M4QR2Q00008	NOT_APPLICABLE_EXISTING_ANCHOR	Frozen current M9 Search anchor; no duplicate acquisition.	EXISTING_CURRENT_SEARCH_ANCHOR	Already mapped to current exact RU225 Search authority.	27	4	PASS		M2R_DIRECT_RESULT|TESTED_SEED	M2R:line=13:B01/B01-01 | M2R:line=345:B02/B02-01 | M2R:line=346:B02/B02-01	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_91da785ba085dc94	Правила работы с возвратами на маркетплейсах: условия торговых платформ и советы по снижению показателя	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	PAGE_TITLE_OR_SOURCE_PHRASE	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	Exact source/title wording fails useful user-query proof; no rewrite.	103	14	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_91da785ba085dc94	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_91db5a13422632c2	дрр wildberries	WORKING	CLUSTER_ELIGIBLE	CURRENT_EXACT_RU225	M4QR2Q00024	NOT_APPLICABLE_EXISTING_ANCHOR	Frozen current M9 Search anchor; no duplicate acquisition.	EXISTING_CURRENT_SEARCH_ANCHOR	Already mapped to current exact RU225 Search authority.	15	2	PASS		M2R_TOTALCOUNT_ONLY_SEED	M2R:line=1043:M2R/M2R-A12	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_985f150bb9d0478c	Отчёт о реализации Ozon: где найти и как сверить выплату	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	PAGE_TITLE_OR_SOURCE_PHRASE	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	Exact source/title wording fails useful user-query proof; no rewrite.	56	10	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_985f150bb9d0478c	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_9abd6603016eb220	Комиссии на Wildberries: почему в отчёте одна ставка, а в тарифах другая	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	PAGE_TITLE_OR_SOURCE_PHRASE	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	Exact source/title wording fails useful user-query proof; no rewrite.	72	12	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_9abd6603016eb220	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_9ebe0f620e9744e6	аналитика маркетплейсов лучшие сервисы	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	WAVE1_SEARCH_CANDIDATE	Named one-sided HOLD; passed query/limits/duplicate gates; deterministic Wave 1 rank.	38	4	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_9ebe0f620e9744e6	M2R_DIRECT_RESULT	M2R:line=314:B01/B01-14 | M2R:line=729:M2R/M2R-A01	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_9f67c7e74f7f9587	Финансовый отчет WILDBERRIES – как читать?	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	PAGE_TITLE_OR_SOURCE_PHRASE	the exact wording uses a headline dash and a second explanatory clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	Exact source/title wording fails useful user-query proof; no rewrite.	42	6	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_9f67c7e74f7f9587	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_a0b46005e544f2a9	Аналитика комиссии Wildberries: отчёты, сверка и контроль аномалий	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	PAGE_TITLE_OR_SOURCE_PHRASE	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	Exact source/title wording fails useful user-query proof; no rewrite.	66	8	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_a0b46005e544f2a9	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_a0eeffff2d867dcb	Отчёт по возвратам Wildberries: разбор операций и удержаний	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	PAGE_TITLE_OR_SOURCE_PHRASE	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	Exact source/title wording fails useful user-query proof; no rewrite.	59	8	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_a0eeffff2d867dcb	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_a5452022da8e1c54	Аналитика Wildberries: отчёты, метрики и дашборды продавца	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	PAGE_TITLE_OR_SOURCE_PHRASE	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	Exact source/title wording fails useful user-query proof; no rewrite.	58	7	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_a5452022da8e1c54	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_a6dbb52f9468a6a4	chatgpt для wildberries	WORKING	CLUSTER_ELIGIBLE	CURRENT_EXACT_RU225	M4QR2Q00002	NOT_APPLICABLE_EXISTING_ANCHOR	Frozen current M9 Search anchor; no duplicate acquisition.	EXISTING_CURRENT_SEARCH_ANCHOR	Already mapped to current exact RU225 Search authority.	23	3	PASS		M2R_TOTALCOUNT_ONLY_SEED	M2R:line=301:B01/B01-11	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_a7efef13fa5d09dc	ДРР на Wildberries — как рассчитать и оптимизировать	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	PAGE_TITLE_OR_SOURCE_PHRASE	the exact wording uses a headline dash and a second explanatory clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	Exact source/title wording fails useful user-query proof; no rewrite.	52	8	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_a7efef13fa5d09dc	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_a80ecbe39e0f75b9	Как читать и анализировать финансовый отчёт Wildberries	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	NATURAL_EXACT_SEARCH_PROBE_NO_DEMAND	Complete standalone question about reading/analysing a WB financial report.	DEFER_SEARCH_CANDIDATE	Query passes gates; bounded first wave ranks earlier candidates higher.	55	7	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_a80ecbe39e0f75b9	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_ad9d528ae20638a6	сервис аналитики на маркетплейсах отзывы	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	WAVE1_SEARCH_CANDIDATE	Named one-sided HOLD; passed query/limits/duplicate gates; deterministic Wave 1 rank.	40	5	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_ad9d528ae20638a6	M2R_DIRECT_RESULT	M2R:line=313:B01/B01-14 | M2R:line=717:M2R/M2R-A01	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_aeb8b283519ced02	ии для продаж на маркетплейсах	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT|TESTED_SEED; empty/totalCount-only is not positive demand.	DEFER_SEARCH_CANDIDATE	Query passes gates; bounded first wave ranks earlier candidates higher.	30	5	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_aeb8b283519ced02	M2R_DIRECT_RESULT|TESTED_SEED	M2R:line=42:B01/B01-01 | M2R:line=387:B02/B02-03 | M2R:line=388:B02/B02-03	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_afe48225d34ce12b	лучшие сервисы аналитики маркетплейсов	WORKING	CLUSTER_ELIGIBLE	CURRENT_EXACT_RU225	M4QR2Q00030	NOT_APPLICABLE_EXISTING_ANCHOR	Frozen current M9 Search anchor; no duplicate acquisition.	EXISTING_CURRENT_SEARCH_ANCHOR	Already mapped to current exact RU225 Search authority.	38	4	PASS		M2R_DIRECT_RESULT	M2R:line=315:B01/B01-14 | M2R:line=730:M2R/M2R-A01	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_b02e9e70557692e0	ии помощник селлера	WORKING	CLUSTER_ELIGIBLE	CURRENT_EXACT_RU225	M4QR2Q00028	NOT_APPLICABLE_EXISTING_ANCHOR	Frozen current M9 Search anchor; no duplicate acquisition.	EXISTING_CURRENT_SEARCH_ANCHOR	Already mapped to current exact RU225 Search authority.	19	3	PASS		M2R_TOTALCOUNT_ONLY_SEED	M2R:line=181:B01/B01-03	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_b2c582967d3dea97	Как читать финансовый отчет WILDBERRIES за 5 минут?	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	PAGE_TITLE_OR_SOURCE_PHRASE	the long exact wording combines multiple source-title concepts rather than a standalone user question; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	Exact source/title wording fails useful user-query proof; no rewrite.	51	8	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_b2c582967d3dea97	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_b494df2d754aba5f	Отчет «География» в разделах «Продавцы» и «Бренды»	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	PAGE_TITLE_OR_SOURCE_PHRASE	the exact text uses a quoted named report/feature like a source title; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	Exact source/title wording fails useful user-query proof; no rewrite.	50	7	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_b494df2d754aba5f	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_b5ddcf597a798e80	Удержания рядом с комиссией Wildberries: как разделить начисления в отчёте	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	PAGE_TITLE_OR_SOURCE_PHRASE	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	Exact source/title wording fails useful user-query proof; no rewrite.	74	10	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_b5ddcf597a798e80	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_b5ea13003e4c370e	где скачать отчет о выкупах маркетплейсов	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	DEFER_SEARCH_CANDIDATE	Query passes gates; bounded first wave ranks earlier candidates higher.	41	6	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_b5ea13003e4c370e	M2R_DIRECT_RESULT	M2R:line=862:M2R/M2R-A03	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_bc3305b7d5adfb2b	ии агент для wildberries	WORKING	CLUSTER_ELIGIBLE	CURRENT_EXACT_RU225	M4QR2Q00006	NOT_APPLICABLE_EXISTING_ANCHOR	Frozen current M9 Search anchor; no duplicate acquisition.	EXISTING_CURRENT_SEARCH_ANCHOR	Already mapped to current exact RU225 Search authority.	24	4	PASS		M2R_DIRECT_RESULT|TESTED_SEED	M2R:line=239:B01/B01-07 | M2R:line=503:B02/B02-09 | M2R:line=504:B02/B02-09	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_c41c83a50b6900cb	ии агенты маркетплейсы отчеты	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	DEFER_SEARCH_CANDIDATE	Query passes gates; bounded first wave ranks earlier candidates higher.	29	4	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_c41c83a50b6900cb	M2R_DIRECT_RESULT	M2R:line=846:M2R/M2R-A03	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_c4d7f4ca514dc5fd	ии анализ продаж маркетплейсов	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_EMPTY_SUCCESS_SEED; empty/totalCount-only is not positive demand.	WAVE1_SEARCH_CANDIDATE	Named one-sided HOLD; passed query/limits/duplicate gates; deterministic Wave 1 rank.	30	4	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_c4d7f4ca514dc5fd	M2R_EMPTY_SUCCESS_SEED	M2R:line=302:B01/B01-12	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_c65a5e24dfdb39bc	отчет маркетплейса вайлдберриз	WORKING	CLUSTER_ELIGIBLE	CURRENT_EXACT_RU225	M4QR2Q00032	NOT_APPLICABLE_EXISTING_ANCHOR	Frozen current M9 Search anchor; no duplicate acquisition.	EXISTING_CURRENT_SEARCH_ANCHOR	Already mapped to current exact RU225 Search authority.	30	3	PASS		M2R_DIRECT_RESULT	M2R:line=845:M2R/M2R-A03	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_c673d63396e872d3	Внутренняя аналитика WILDBERRIES. Как читать отчеты в личном кабинете?	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	PAGE_TITLE_OR_SOURCE_PHRASE	the long exact wording combines multiple source-title concepts rather than a standalone user question; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	Exact source/title wording fails useful user-query proof; no rewrite.	70	9	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_c673d63396e872d3	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_c6b3851b9dcf0b07	отчет о списаниях маркетплейс	WORKING	CLUSTER_ELIGIBLE	CURRENT_EXACT_RU225	M4QR2Q00034	NOT_APPLICABLE_EXISTING_ANCHOR	Frozen current M9 Search anchor; no duplicate acquisition.	EXISTING_CURRENT_SEARCH_ANCHOR	Already mapped to current exact RU225 Search authority.	29	4	PASS		M2R_DIRECT_RESULT	M2R:line=857:M2R/M2R-A03	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_c8bd772d7a8b9ccb	Как сверить отчёты маркетплейсов и найти скрытые удержания	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	PAGE_TITLE_OR_SOURCE_PHRASE	the long exact wording combines multiple source-title concepts rather than a standalone user question; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	Exact source/title wording fails useful user-query proof; no rewrite.	58	8	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_c8bd772d7a8b9ccb	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_c9ca51837b06e207	Отчёт «Поисковые запросы на WB»	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	AMBIGUOUS_QUERY_FORM	Quotation marks identify a possible native report title; query usefulness is uncertain.	QUERY_FORM_AMBIGUOUS_HOLD	Exact wording unresolved; no provider release.	31	5	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_c9ca51837b06e207	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_c9cbb3939920b7ee	сервис аналитики маркетплейсов	WORKING	CLUSTER_ELIGIBLE	CURRENT_EXACT_RU225	M4QR2Q00042	NOT_APPLICABLE_EXISTING_ANCHOR	Frozen current M9 Search anchor; no duplicate acquisition.	EXISTING_CURRENT_SEARCH_ANCHOR	Already mapped to current exact RU225 Search authority.	30	3	PASS		M2R_DIRECT_RESULT|TESTED_SEED	M2R:line=304:B01/B01-14 | M2R:line=306:B01/B01-14 | M2R:line=632:M2R/M2R-A01	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_ce5c460b3a2124bb	Воронка продаж на Wildberries: как сравнивать периоды и показатели площадки	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	PAGE_TITLE_OR_SOURCE_PHRASE	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	Exact source/title wording fails useful user-query proof; no rewrite.	75	10	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_ce5c460b3a2124bb	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_ce7224790a6414bc	Аналитика Wildberries: ТОП показателей и инструментов	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	PAGE_TITLE_OR_SOURCE_PHRASE	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	Exact source/title wording fails useful user-query proof; no rewrite.	53	6	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_ce7224790a6414bc	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
