occurrence_index	snapshot_id	snapshot_timestamp	extraction_chunk_id	extraction_chunk_status	source_collection_url	raw_href	absolute_url	normalized_identity	identity_class	duplicate_occurrence_rank	first_occurrence_index	unique_or_duplicate	reconciliation_state	accepted_identity_source	r5_url_id	retained_occurrence_id	retained_collection_index	observed_date	observed_title	observed_excerpt	observed_tags	original_extraction_batch	first_seen_provenance
2069	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_009	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/wildberries-uskorit-vyplaty-prodavtsam	https://uniseller.io/blog/wildberries-uskorit-vyplaty-prodavtsam	https://uniseller.io/blog/wildberries-uskorit-vyplaty-prodavtsam	ARTICLE	1	2069	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U02056	R5O02069	2068	16 августа 2026	Wildberries ускоряет выплаты: что изменится для селлеров	Wildberries меняет порядок выплат: деньги станут доступны быстрее, а финансовый цикл — предсказуемее. Разбираем, что это значит для селлеров	wildberries,выплаты,селлеры,маркетплейсы,финансы	DOM_BATCH_05	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
2070	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_009	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/rwb-soyuz-proizvoditeley-bad-sotrudnichestvo	https://uniseller.io/blog/rwb-soyuz-proizvoditeley-bad-sotrudnichestvo	https://uniseller.io/blog/rwb-soyuz-proizvoditeley-bad-sotrudnichestvo	ARTICLE	1	2070	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U02057	R5O02070	2069	16 августа 2026	RWB и Союз производителей БАД: что изменится для селлеров на маркетплейсах	RWB Здоровье и СРО «Союз производителей БАД к пище» подписали меморандум о сотрудничестве. Разбираемся, как это повлияет на рынок БАД и что	маркетплейсы,БАД,RWB,селлеры,качество товаров,саморегулирование	DOM_BATCH_05	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
2071	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_009	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/turizm-na-wildberries-marketpleis-vpechatlenii	https://uniseller.io/blog/turizm-na-wildberries-marketpleis-vpechatlenii	https://uniseller.io/blog/turizm-na-wildberries-marketpleis-vpechatlenii	ARTICLE	1	2071	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U02058	R5O02071	2070	16 августа 2026	Туризм на Wildberries: как регионы продвигают через «Маркетплейс впечатлений»	RWB и Минэкономразвития запустили проект по продвижению туристических регионов через «Маркетплейс впечатлений» на Wildberries. Разбираем, чт	wildberries,маркетплейсы,туризм,селлеры,wb travel,минэкономразвития	DOM_BATCH_05	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
2072	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_009	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/wildberries-wb-service-remont-pvz-2	https://uniseller.io/blog/wildberries-wb-service-remont-pvz-2	https://uniseller.io/blog/wildberries-wb-service-remont-pvz-2	ARTICLE	1	2072	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U02059	R5O02072	2071	16 августа 2026	Wildberries запустил WB Service: как маркетплейс меняет рынок ремонта ПВЗ	Wildberries открыл бета-тест бесплатной платформы WB Service для поиска специалистов по ремонту и обслуживанию пунктов выдачи. Разбираем, чт	wildberries,маркетплейсы,пвз,wb service,ремонт,селлеры	DOM_BATCH_05	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
2073	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_009	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/pfk-cska-fan-shop-wildberries	https://uniseller.io/blog/pfk-cska-fan-shop-wildberries	https://uniseller.io/blog/pfk-cska-fan-shop-wildberries	ARTICLE	1	2073	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U02060	R5O02073	2072	16 августа 2026	ПФК ЦСКА открыл фан-шоп на Wildberries: что это значит для селлеров	ПФК ЦСКА первым из футбольных клубов запустил эксклюзивную витрину на Wildberries. Разбираем, как устроен проект и какие возможности он откр	Wildberries,маркетплейсы,ПФК ЦСКА,фан-шоп,мерч,коллаборации,селлеры	DOM_BATCH_05	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
2074	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_009	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/mem-siks-seven-wildberries-trend	https://uniseller.io/blog/mem-siks-seven-wildberries-trend	https://uniseller.io/blog/mem-siks-seven-wildberries-trend	ARTICLE	1	2074	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U02061	R5O02074	2073	16 августа 2026	Мем «сикс севен» захватил Wildberries: как селлеры зарабатывают на интернет-трендах	Аналитики Wildberries зафиксировали взрывной рост продаж товаров с мемом «сикс севен»: в декабре оборот вырос в 7,5 раза. Разбираем, как сел	маркетплейсы,wildberries,продажи,тренды,мемы,селлеры	DOM_BATCH_05	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
2075	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_009	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/rwb-platforma-rosta-bashkortostan	https://uniseller.io/blog/rwb-platforma-rosta-bashkortostan	https://uniseller.io/blog/rwb-platforma-rosta-bashkortostan	ARTICLE	1	2075	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U02062	R5O02075	2074	16 августа 2026	RWB запускает «Платформу роста» в Башкирии: что это даст селлерам	Wildberries & Russ запускает «Платформу роста» в Башкортостане — программу поддержки для местных производителей. Около 40 предпринимателей п	маркетплейсы,wildberries,ozon,продажи,селлер,поддержка бизнеса,башкортостан	DOM_BATCH_05	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
2076	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_009	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/platforma-rosta-mordovia-marketpleisy	https://uniseller.io/blog/platforma-rosta-mordovia-marketpleisy	https://uniseller.io/blog/platforma-rosta-mordovia-marketpleisy	ARTICLE	1	2076	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U02063	R5O02076	2075	16 августа 2026	«Платформа роста» в Мордовии: как региональные бренды выходят на маркетплейсы	RWB и власти Мордовии запустили программу поддержки локальных производителей. Разбираем, что это даст селлерам региона и почему доля местных	маркетплейсы,wildberries,селлеры,поддержка бизнеса,регионы,электронная коммерция	DOM_BATCH_05	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
2077	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_009	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/russ-vykhodit-iz-akar-chto-eto-znachit-dlya-rynka	https://uniseller.io/blog/russ-vykhodit-iz-akar-chto-eto-znachit-dlya-rynka	https://uniseller.io/blog/russ-vykhodit-iz-akar-chto-eto-znachit-dlya-rynka	ARTICLE	1	2077	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U02064	R5O02077	2076	16 августа 2026	Russ выходит из АКАР: что это значит для рынка наружной рекламы и селлеров	Оператор наружной рекламы Russ покидает АКАР из-за разногласий в подсчетах рынка. Разбираем, почему это важно для селлеров на маркетплейсах.	маркетплейсы,наружная реклама,селлеры,АКАР,Russ	DOM_BATCH_05	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
2078	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_009	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/ataka-na-sklady-wildberries-chto-eto-znachit-dlya-sellerov	https://uniseller.io/blog/ataka-na-sklady-wildberries-chto-eto-znachit-dlya-sellerov	https://uniseller.io/blog/ataka-na-sklady-wildberries-chto-eto-znachit-dlya-sellerov	ARTICLE	1	2078	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U02065	R5O02078	2077	16 августа 2026	Атака на склады Wildberries: что это значит для селлеров и как защитить товары	Ночью 2025 года логистические комплексы Wildberries в Котовске и Электростали подверглись атаке. Разбираем последствия для продавцов и спосо	wildberries,маркетплейсы,селлеры,логистика,риски,пожар,атака на склады,ozon,яндекс маркет	DOM_BATCH_05	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
2079	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_009	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/pozhary-wildberries-sklady-chto-delat-selleram	https://uniseller.io/blog/pozhary-wildberries-sklady-chto-delat-selleram	https://uniseller.io/blog/pozhary-wildberries-sklady-chto-delat-selleram	ARTICLE	1	2079	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U02066	R5O02079	2078	16 августа 2026	Пожары на складах Wildberries: что делать селлерам прямо сейчас	После атак на логистические комплексы Wildberries в Электростали и Котовске селлеры столкнулись с приостановкой продаж и необходимостью пере	wildberries,маркетплейсы,селлер,логистика,пожары,продажи	DOM_BATCH_05	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
2080	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_009	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/pozhar-na-skladakh-wildberries-kak-selleram-zashchitit-tovary-i-dengi	https://uniseller.io/blog/pozhar-na-skladakh-wildberries-kak-selleram-zashchitit-tovary-i-dengi	https://uniseller.io/blog/pozhar-na-skladakh-wildberries-kak-selleram-zashchitit-tovary-i-dengi	ARTICLE	1	2080	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U02067	R5O02080	2079	16 августа 2026	Пожар на складах Wildberries: как селлерам защитить товары и деньги	После ЧП на складах Wildberries в Котовске и Электростали селлеры задаются вопросом: как вернуть товары и компенсацию. Разбираем, что извест	wildberries,ozon,яндекс маркет,пожары,компенсация,налоги,фнс,селлеры	DOM_BATCH_05	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
2081	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_009	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/kompensatsii-wildberries-posle-atak-na-sklady	https://uniseller.io/blog/kompensatsii-wildberries-posle-atak-na-sklady	https://uniseller.io/blog/kompensatsii-wildberries-posle-atak-na-sklady	ARTICLE	1	2081	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U02068	R5O02081	2080	16 августа 2026	Компенсации Wildberries после атак на склады: что известно селлерам	Wildberries объявила о выплатах семьям погибших и пострадавшим от атак на склады в Электростали и Котовске, а также прорабатывает компенсаци	wildberries,маркетплейсы,компенсации,селлеры,склады,риски	DOM_BATCH_05	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
2082	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_009	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/wildberries-posle-sliyaniya-kak-izmenilas-rabota-dlya-sellerov	https://uniseller.io/blog/wildberries-posle-sliyaniya-kak-izmenilas-rabota-dlya-sellerov	https://uniseller.io/blog/wildberries-posle-sliyaniya-kak-izmenilas-rabota-dlya-sellerov	ARTICLE	1	2082	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U02069	R5O02082	2081	16 августа 2026	Wildberries после слияния: как изменилась работа для селлеров	Wildberries заявляет о штатной работе сервисов и ПВЗ после объединения с Russ. Разбираем, что это значит для селлеров и какие процессы были	Wildberries,маркетплейсы,селлеры,логистика,ПВЗ,продажи	DOM_BATCH_05	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
2083	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_009	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/evakuatsiya-sklad-wildberries-chto-proizoshlo	https://uniseller.io/blog/evakuatsiya-sklad-wildberries-chto-proizoshlo	https://uniseller.io/blog/evakuatsiya-sklad-wildberries-chto-proizoshlo	ARTICLE	1	2083	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U02070	R5O02083	2082	16 августа 2026	Эвакуация на складах Wildberries: что произошло на самом деле	Telegram-каналы распространили слухи о нарушениях при эвакуации на складе Wildberries в Электростали. Официальный ответ компании развеивает	маркетплейсы,wildberries,ozon,яндекс маркет,продажи,селлер,налоги,проблемы,фнс,акции,товары,сервисы	DOM_BATCH_05	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
2084	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_009	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/wildberries-skidki-na-hranenie-i-tranzit	https://uniseller.io/blog/wildberries-skidki-na-hranenie-i-tranzit	https://uniseller.io/blog/wildberries-skidki-na-hranenie-i-tranzit	ARTICLE	1	2084	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U02071	R5O02084	2083	16 августа 2026	Wildberries вводит скидки на хранение и транзит: что это значит для селлеров	Wildberries объявил о первых мерах поддержки продавцов после сбоев: скидки на хранение на ряде складов и 100% скидка на транзитные поставки.	wildberries,ozon,яндекс маркет,продажи,селлер,скидки,хранение,транзит,поддержка	DOM_BATCH_05	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
2085	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_009	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/kak-popolnit-apple-id-so-sberkarty	https://uniseller.io/blog/kak-popolnit-apple-id-so-sberkarty	https://uniseller.io/blog/kak-popolnit-apple-id-so-sberkarty	ARTICLE	1	2085	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U02072	R5O02085	2084	16 августа 2026	Как пополнить Apple ID со СберКарты: инструкция для селлеров	Пополнение Apple ID с российских карт снова стало возможным — через СберБанк Онлайн можно купить подарочную Apple Card и зачислить деньги на	apple id,сберкарта,селлер,маркетплейсы,инструкция	DOM_BATCH_05	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
2086	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_009	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/yandex-market-ai-assistent-novye-funktsii	https://uniseller.io/blog/yandex-market-ai-assistent-novye-funktsii	https://uniseller.io/blog/yandex-market-ai-assistent-novye-funktsii	ARTICLE	1	2086	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U02073	R5O02086	2085	16 августа 2026	Яндекс Маркет обновляет ИИ-ассистента: что нового для селлеров	Яндекс Маркет внедряет новые функции ИИ-ассистента, которые помогают селлерам анализировать спрос, управлять поставками и оптимизировать кар	яндекс маркет,ии-ассистент,селлеры,маркетплейсы,анализ спроса,управление поставками	DOM_BATCH_05	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
2087	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_009	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/heshtegi-yandeks-market-kanal-novosti	https://uniseller.io/blog/heshtegi-yandeks-market-kanal-novosti	https://uniseller.io/blog/heshtegi-yandeks-market-kanal-novosti	ARTICLE	1	2087	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U02074	R5O02087	2086	16 августа 2026	Хештеги в канале Яндекс Маркета: как не пропустить важные новости	Разбираемся, как хештеги в официальном канале Яндекс Маркета помогают селлерам быстро находить нужные новости и не утонуть в потоке информац	яндекс маркет,селлер,новости,хештеги,акции	DOM_BATCH_05	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
2088	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_009	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/krasota-na-marketpleisah-kak-prodavat-s-komissiei-ot-1	https://uniseller.io/blog/krasota-na-marketpleisah-kak-prodavat-s-komissiei-ot-1	https://uniseller.io/blog/krasota-na-marketpleisah-kak-prodavat-s-komissiei-ot-1	ARTICLE	1	2088	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U02075	R5O02088	2087	16 августа 2026	Красота на маркетплейсах: как продавать с комиссией от 1%	Яндекс Маркет запустил сниженные тарифы для категории «Красота» — комиссия от 1% и бесплатная доставка. Разбираем, как селлеру использовать	маркетплейсы,яндекс маркет,комиссия,красота,селлер,продажи	DOM_BATCH_05	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
2089	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_009	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/podpiska-yandex-market-vygodno-ili-net	https://uniseller.io/blog/podpiska-yandex-market-vygodno-ili-net	https://uniseller.io/blog/podpiska-yandex-market-vygodno-ili-net	ARTICLE	1	2089	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U02076	R5O02089	2088	16 августа 2026	Подписка на Я.Маркет: экономия или ловушка для селлера?	Разбираем, что выгоднее для селлера: подписка со скидкой на комиссию или стандартная оферта. Считаем на реальных примерах и показываем, когд	яндекс маркет,подписка,комиссия,селлер,маркетплейсы	DOM_BATCH_05	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
2090	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_009	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/ozon-snizhaet-tarify-kak-eto-menyaet-strategiyu-prodazh	https://uniseller.io/blog/ozon-snizhaet-tarify-kak-eto-menyaet-strategiyu-prodazh	https://uniseller.io/blog/ozon-snizhaet-tarify-kak-eto-menyaet-strategiyu-prodazh	ARTICLE	1	2090	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U02077	R5O02090	2089	16 августа 2026	Ozon снижает тарифы: как это меняет стратегию продаж	Ozon объявил о снижении тарифов на логистику и хранение. Разбираемся, как селлерам использовать это для расширения географии продаж и увелич	Ozon,тарифы,логистика,география продаж,селлеры,маркетплейсы	DOM_BATCH_05	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
2091	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_009	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/kitayskie-prodavtsy-na-yandeks-markete-kategorii-riska	https://uniseller.io/blog/kitayskie-prodavtsy-na-yandeks-markete-kategorii-riska	https://uniseller.io/blog/kitayskie-prodavtsy-na-yandeks-markete-kategorii-riska	ARTICLE	1	2091	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U02078	R5O02091	2090	16 августа 2026	Китайские продавцы на Яндекс Маркете: кому стоит готовиться к конкуренции	Доля китайских продавцов на Яндекс Маркете растет, и это меняет расклад сил в ряде категорий. Разбираем, какие ниши уже заняты и что делать	яндекс маркет,китайские продавцы,конкуренция,селлеры,маркетплейсы	DOM_BATCH_05	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
2092	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_009	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/konkurentsiya-s-kitajskimi-prodavtsami-na-yandex-markete	https://uniseller.io/blog/konkurentsiya-s-kitajskimi-prodavtsami-na-yandex-markete	https://uniseller.io/blog/konkurentsiya-s-kitajskimi-prodavtsami-na-yandex-markete	ARTICLE	1	2092	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U02079	R5O02092	2091	16 августа 2026	Как конкурировать с китайскими продавцами на Яндекс Маркете	Китайские продавцы захватывают Яндекс Маркет, демпингуя цены и используя прямые поставки. Разбираем стратегии, которые помогут локальным сел	яндекс маркет,китайские продавцы,конкуренция,аналитика,селлеры	DOM_BATCH_05	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
2093	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_009	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/razdel-obzory-na-marketpleisah-kak-popast	https://uniseller.io/blog/razdel-obzory-na-marketpleisah-kak-popast	https://uniseller.io/blog/razdel-obzory-na-marketpleisah-kak-popast	ARTICLE	1	2093	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U02080	R5O02093	2092	16 августа 2026	Раздел «Обзоры» на маркетплейсах: как попасть и зачем это нужно	Раздел «Обзоры» с видеоотзывами — новый инструмент продвижения на Wildberries и Ozon. Рассказываем, как туда попасть, какие требования предъ	маркетплейсы,wildberries,ozon,видеоотзывы,продвижение,селлер	DOM_BATCH_05	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
2094	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_009	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/kompensatsiya-zaderzhka-postavki-ozon	https://uniseller.io/blog/kompensatsiya-zaderzhka-postavki-ozon	https://uniseller.io/blog/kompensatsiya-zaderzhka-postavki-ozon	ARTICLE	1	2094	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U02081	R5O02094	2093	16 августа 2026	Задержка поставки на Ozon: как получить компенсацию за простой	Склад Ozon потерял вашу поставку или принял её с опозданием? Рассказываем, как работает компенсация, какие документы нужны и как не потерять	ozon,компенсация,задержка поставки,селлер,маркетплейсы	DOM_BATCH_05	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
2095	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_009	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/klasternaya-analitika-sprosa-posle-izmeneniya-logistiki-ozon	https://uniseller.io/blog/klasternaya-analitika-sprosa-posle-izmeneniya-logistiki-ozon	https://uniseller.io/blog/klasternaya-analitika-sprosa-posle-izmeneniya-logistiki-ozon	ARTICLE	1	2095	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U02082	R5O02095	2094	16 августа 2026	Логистика Ozon изменилась: как кластерный анализ помогает продавать больше	Ozon перестроил логистику, и привычные карты спроса больше не работают. Разбираем, как кластерный анализ помогает селлерам находить точки ро	маркетплейсы,ozon,логистика,кластерный анализ,продажи,селлер	DOM_BATCH_05	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
2096	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_009	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/samokat-biometriya-energetiki-sellery	https://uniseller.io/blog/samokat-biometriya-energetiki-sellery	https://uniseller.io/blog/samokat-biometriya-energetiki-sellery	ARTICLE	1	2096	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U02083	R5O02096	2095	16 августа 2026	«Самокат» тестирует биометрию для продажи энергетиков: что это значит для селлеров	«Самокат» запустил пилот по биометрической проверке возраста при покупке энергетиков. Разбираемся, как двухэтапная верификация повлияет на д	маркетплейсы,селлеры,биометрия,энергетики,Самокат,доставка	DOM_BATCH_05	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
2097	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_009	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/funktsionalnye-produkty-trend	https://uniseller.io/blog/funktsionalnye-produkty-trend	https://uniseller.io/blog/funktsionalnye-produkty-trend	ARTICLE	1	2097	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U02084	R5O02097	2096	15 августа 2026	Функциональные продукты: тренд, который меняет полку	Продукты с добавленной пользой — от белка до клетчатки — захватывают полки российских магазинов. Но готов ли массовый покупатель жертвовать	функциональные продукты,тренды питания,селлеры,маркетплейсы,ЗОЖ,клетчатка,белок	DOM_BATCH_05	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
2098	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_009	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/sredniy-chek-v-magazinah-vyros-do-20-chto-eto-znachit-dlya-prodavcov-na-marketpleysah	https://uniseller.io/blog/sredniy-chek-v-magazinah-vyros-do-20-chto-eto-znachit-dlya-prodavcov-na-marketpleysah	https://uniseller.io/blog/sredniy-chek-v-magazinah-vyros-do-20-chto-eto-znachit-dlya-prodavcov-na-marketpleysah	ARTICLE	1	2098	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U02085	R5O02098	2097	15 августа 2026	Средний чек в магазинах вырос до 20%: что это значит для продавцов на маркетплейсах	Аналитики Infoline зафиксировали рекордный рост среднего чека в супермаркетах и магазинах у дома — до 15–20% за 2025 год. Разбираем, как мен	средний чек,маркетплейсы,wildberries,ozon,яндекс маркет,продажи,селлер,аналитика,Infoline,покупательское поведение	DOM_BATCH_05	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
