candidate_delta_id	target_id	registry_id	source_url	page_role	raw_candidate_text	normalized_comparison_key	source_location_or_context	reconciliation_status	existing_m4c_candidate_ids	semantic_notes	proposed_m6_route	claim_boundary
M4QR2CD00034	M4QR2TR0014	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/kak-nachat-prodavat-na-wildberries/	ARTICLE_OR_GUIDE	Как еще продвигать товар на Wildberries	как еще продвигать товар на wildberries	H3[42]; Как начать продавать на Wildberries: пошаговая инструкция с нуля	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00035	M4QR2TR0014	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/kak-nachat-prodavat-na-wildberries/	ARTICLE_OR_GUIDE	Как связаться с техподдержкой ВБ?	как связаться с техподдержкой вб?	H3[59]; Как начать продавать на Wildberries: пошаговая инструкция с нуля	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00036	M4QR2TR0014	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/kak-nachat-prodavat-na-wildberries/	ARTICLE_OR_GUIDE	Как Wildberries поощряет участие в акциях?	как wildberries поощряет участие в акциях?	H3[61]; Как начать продавать на Wildberries: пошаговая инструкция с нуля	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00037	M4QR2TR0014	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/kak-nachat-prodavat-na-wildberries/	ARTICLE_OR_GUIDE	Как торговать в плюс на Вайлдберриз?	как торговать в плюс на вайлдберриз?	H3[70]; Как начать продавать на Wildberries: пошаговая инструкция с нуля	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00038	M4QR2TR0014	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/kak-nachat-prodavat-na-wildberries/	ARTICLE_OR_GUIDE	Как правильно заполнить артикул и для чего он нужен?	как правильно заполнить артикул и для чего он нужен?	H3[74]; Как начать продавать на Wildberries: пошаговая инструкция с нуля	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00039	M4QR2TR0015	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/kak-schitat-yunit-ekonomiku-dlya-marketpleysov/	ARTICLE_OR_GUIDE	Как считать юнит-экономику для маркетплейсов	как считать юнит-экономику для маркетплейсов	H1; Как считать юнит-экономику для маркетплейсов	ALREADY_PRESENT	M4CCAND003677	Exact-safe raw wording already occurs in accepted M4C (1 source occurrences; same entity=1); no new demand claim.	KEEP_EXISTING_M4C_M6_ROUTE	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00040	M4QR2TR0015	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/kak-schitat-yunit-ekonomiku-dlya-marketpleysov/	ARTICLE_OR_GUIDE	Получайте актуальные данные о продажах и товарах в МоемСкладе	получайте актуальные данные о продажах и товарах в моемскладе	H3[5]; Как считать юнит-экономику для маркетплейсов	ALREADY_PRESENT	M4CCAND000570	Exact-safe raw wording already occurs in accepted M4C (1 source occurrences; same entity=1); no new demand claim.	KEEP_EXISTING_M4C_M6_ROUTE	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00041	M4QR2TR0015	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/kak-schitat-yunit-ekonomiku-dlya-marketpleysov/	ARTICLE_OR_GUIDE	Как считать юнит‑экономику на Wildberries и Ozon: пошаговая инструкция	как считать юнит‑экономику на wildberries и ozon: пошаговая инструкция	H2[6]; Как считать юнит-экономику для маркетплейсов	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00042	M4QR2TR0016	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/kartochka-tovara-na-wildberries/	ARTICLE_OR_GUIDE	Как заполнять карточки товаров на Wildberries, чтобы получать продажи: подробная инструкция с примерами	как заполнять карточки товаров на wildberries, чтобы получать продажи: подробная инструкция с примерами	H1; Как заполнять карточки товаров на Wildberries, чтобы получать продажи: подробная инструкция с примерами	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00043	M4QR2TR0016	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/kartochka-tovara-na-wildberries/	ARTICLE_OR_GUIDE	Как работает поиск на Wildberries и как люди ищут товары	как работает поиск на wildberries и как люди ищут товары	H2[1]; Как заполнять карточки товаров на Wildberries, чтобы получать продажи: подробная инструкция с примерами	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00044	M4QR2TR0016	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/kartochka-tovara-na-wildberries/	ARTICLE_OR_GUIDE	Как создать карточку товара на Wildberries: пошаговая инструкция	как создать карточку товара на wildberries: пошаговая инструкция	H2[4]; Как заполнять карточки товаров на Wildberries, чтобы получать продажи: подробная инструкция с примерами	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00045	M4QR2TR0016	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/kartochka-tovara-na-wildberries/	ARTICLE_OR_GUIDE	Как и зачем объединять карточки	как и зачем объединять карточки	H2[36]; Как заполнять карточки товаров на Wildberries, чтобы получать продажи: подробная инструкция с примерами	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00046	M4QR2TR0016	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/kartochka-tovara-na-wildberries/	ARTICLE_OR_GUIDE	Как удалить карточку	как удалить карточку	H2[39]; Как заполнять карточки товаров на Wildberries, чтобы получать продажи: подробная инструкция с примерами	OUT_OF_SCOPE		Explicit 1C/accounting, external intelligence, onboarding/mutation, or another task outside launch product scope; preserve as page evidence.	NO_M6_PROMOTION_UNSUPPORTED_OR_DIFFERENT_TASK	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00047	M4QR2TR0017	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/samye-prodavaemye-tovary-na-wildberries/	ARTICLE_OR_GUIDE	Самые продаваемые товары на Wildberries в 2026: выбор ниши и товара	самые продаваемые товары на wildberries в 2026: выбор ниши и товара	H1; Самые продаваемые товары на Wildberries в 2026: выбор ниши и товара	OUT_OF_SCOPE		Explicit 1C/accounting, external intelligence, onboarding/mutation, or another task outside launch product scope; preserve as page evidence.	NO_M6_PROMOTION_UNSUPPORTED_OR_DIFFERENT_TASK	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00048	M4QR2TR0017	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/samye-prodavaemye-tovary-na-wildberries/	ARTICLE_OR_GUIDE	Как новичку выбрать подходящий товар	как новичку выбрать подходящий товар	H2[41]; Самые продаваемые товары на Wildberries в 2026: выбор ниши и товара	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00049	M4QR2TR0017	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/samye-prodavaemye-tovary-na-wildberries/	ARTICLE_OR_GUIDE	Как автоматизировать продажи на Wildberries	как автоматизировать продажи на wildberries	H2[50]; Самые продаваемые товары на Wildberries в 2026: выбор ниши и товара	OUT_OF_SCOPE		Explicit 1C/accounting, external intelligence, onboarding/mutation, or another task outside launch product scope; preserve as page evidence.	NO_M6_PROMOTION_UNSUPPORTED_OR_DIFFERENT_TASK	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00050	M4QR2TR0018	REG025	https://mpboost.pro/analytics/	PUBLIC_PRODUCT_OR_SERVICE_LANDING	Аналитика и продвижение на Wildberries и Ozon	аналитика и продвижение на wildberries и ozon	H1; Аналитика и продвижение на Wildberries и Ozon	POSSIBLE_VARIANT		Distinct exact wording of a broad accepted seller task; possible variant only, no synonym/identity merge.	KEEP_EXISTING_VALIDATION_QUESTION_PENDING_EXACT_DEMAND_CHECK	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00051	M4QR2TR0019	REG026	https://mpfact.ru/tpost/kak-poschitat-pribyl	ARTICLE_OR_GUIDE	Как посчитать чистую прибыль на Wildberries и Ozon по каждому товару — MPfact	как посчитать чистую прибыль на wildberries и ozon по каждому товару — mpfact	H1; Как посчитать чистую прибыль на Wildberries и Ozon по каждому товару — MPfact	POSSIBLE_VARIANT		Distinct exact wording of a broad accepted seller task; possible variant only, no synonym/identity merge.	KEEP_EXISTING_VALIDATION_QUESTION_PENDING_EXACT_DEMAND_CHECK	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00052	M4QR2TR0019	REG026	https://mpfact.ru/tpost/kak-poschitat-pribyl	ARTICLE_OR_GUIDE	Как правильно считать чистую прибыль на Wildberries и Ozon по каждому артикулу	как правильно считать чистую прибыль на wildberries и ozon по каждому артикулу	H2[1]; Как посчитать чистую прибыль на Wildberries и Ozon по каждому товару — MPfact	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00053	M4QR2TR0019	REG026	https://mpfact.ru/tpost/kak-poschitat-pribyl	ARTICLE_OR_GUIDE	Как читать финансовый отчёт Wildberries и Ozon	как читать финансовый отчёт wildberries и ozon	H3[4]; Как посчитать чистую прибыль на Wildberries и Ozon по каждому товару — MPfact	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00054	M4QR2TR0019	REG026	https://mpfact.ru/tpost/kak-poschitat-pribyl	ARTICLE_OR_GUIDE	Как считать прибыль на маркетплейсе без таблиц	как считать прибыль на маркетплейсе без таблиц	H3[15]; Как посчитать чистую прибыль на Wildberries и Ozon по каждому товару — MPfact	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00055	M4QR2TR0031	REG037	https://sellerden.ru/sellerfox/	PUBLIC_PRODUCT_OR_SERVICE_LANDING	Аналитика для маркетплейсов	аналитика для маркетплейсов	H1; Аналитика для маркетплейсов	OUT_OF_SCOPE		Explicit 1C/accounting, external intelligence, onboarding/mutation, or another task outside launch product scope; preserve as page evidence.	NO_M6_PROMOTION_UNSUPPORTED_OR_DIFFERENT_TASK	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00056	M4QR2TR0031	REG037	https://sellerden.ru/sellerfox/	PUBLIC_PRODUCT_OR_SERVICE_LANDING	Выгрузки данных маркетплейсов	выгрузки данных маркетплейсов	H2[1]; Аналитика для маркетплейсов	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00057	M4QR2TR0032	REG042	https://selsup.ru/blog/11-sposobov-uvelichit-marzhinalnost-na-marketplejsah/	ARTICLE_OR_GUIDE	11 шагов к увеличению маржинальности на маркетплейсах	11 шагов к увеличению маржинальности на маркетплейсах	H1; 11 шагов к увеличению маржинальности на маркетплейсах	ALREADY_PRESENT	M4CCAND004131	Exact-safe raw wording already occurs in accepted M4C (1 source occurrences; same entity=1); no new demand claim.	KEEP_EXISTING_M4C_M6_ROUTE	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00058	M4QR2TR0032	REG042	https://selsup.ru/blog/11-sposobov-uvelichit-marzhinalnost-na-marketplejsah/	ARTICLE_OR_GUIDE	Как продавать ювелирные изделия на Wildberries по FBS и FBW	как продавать ювелирные изделия на wildberries по fbs и fbw	H3[17]; 11 шагов к увеличению маржинальности на маркетплейсах	OUT_OF_SCOPE		Explicit 1C/accounting, external intelligence, onboarding/mutation, or another task outside launch product scope; preserve as page evidence.	NO_M6_PROMOTION_UNSUPPORTED_OR_DIFFERENT_TASK	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00059	M4QR2TR0033	REG042	https://selsup.ru/blog/analitika-marketplejsov-chto-nuzhno-proveryat-dlya-uspeshnyh-prodazh/	ARTICLE_OR_GUIDE	Аналитика маркетплейсов: что нужно проверять для успешных продаж	аналитика маркетплейсов: что нужно проверять для успешных продаж	H1; Аналитика маркетплейсов: что нужно проверять для успешных продаж	ALREADY_PRESENT	M4CCAND004197	Exact-safe raw wording already occurs in accepted M4C (1 source occurrences; same entity=1); no new demand claim.	KEEP_EXISTING_M4C_M6_ROUTE	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00060	M4QR2TR0033	REG042	https://selsup.ru/blog/analitika-marketplejsov-chto-nuzhno-proveryat-dlya-uspeshnyh-prodazh/	ARTICLE_OR_GUIDE	Как проверять остатки товаров через SelSup	как проверять остатки товаров через selsup	H2[3]; Аналитика маркетплейсов: что нужно проверять для успешных продаж	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00061	M4QR2TR0033	REG042	https://selsup.ru/blog/analitika-marketplejsov-chto-nuzhno-proveryat-dlya-uspeshnyh-prodazh/	ARTICLE_OR_GUIDE	Как АВС-анализ помогает управлять продажами	как авс-анализ помогает управлять продажами	H2[4]; Аналитика маркетплейсов: что нужно проверять для успешных продаж	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00062	M4QR2TR0034	REG042	https://selsup.ru/blog/finansovy-otchet-wildberries/	ARTICLE_OR_GUIDE	Отчёт о реализации Wildberries: как читать финансовый отчёт и сверить выплату	отчёт о реализации wildberries: как читать финансовый отчёт и сверить выплату	H1; Отчёт о реализации Wildberries: как читать финансовый отчёт и сверить выплату	ALREADY_PRESENT	M4CCAND004426	Exact-safe raw wording already occurs in accepted M4C (1 source occurrences; same entity=1); no new demand claim.	KEEP_EXISTING_M4C_M6_ROUTE	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00063	M4QR2TR0034	REG042	https://selsup.ru/blog/finansovy-otchet-wildberries/	ARTICLE_OR_GUIDE	Как сверить отчёт с фактическими продажами	как сверить отчёт с фактическими продажами	H2[7]; Отчёт о реализации Wildberries: как читать финансовый отчёт и сверить выплату	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00064	M4QR2TR0034	REG042	https://selsup.ru/blog/finansovy-otchet-wildberries/	ARTICLE_OR_GUIDE	Как найти причину расхождения	как найти причину расхождения	H2[8]; Отчёт о реализации Wildberries: как читать финансовый отчёт и сверить выплату	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00065	M4QR2TR0034	REG042	https://selsup.ru/blog/finansovy-otchet-wildberries/	ARTICLE_OR_GUIDE	Как автоматизировать сверку отчётов?	как автоматизировать сверку отчётов?	H3[20]; Отчёт о реализации Wildberries: как читать финансовый отчёт и сверить выплату	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00066	M4QR2TR0034	REG042	https://selsup.ru/blog/finansovy-otchet-wildberries/	ARTICLE_OR_GUIDE	Как SelSup помогает сверять отчёт Wildberries	как selsup помогает сверять отчёт wildberries	H2[22]; Отчёт о реализации Wildberries: как читать финансовый отчёт и сверить выплату	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00067	M4QR2TR0034	REG042	https://selsup.ru/blog/finansovy-otchet-wildberries/	ARTICLE_OR_GUIDE	Как продавать ювелирные изделия на Wildberries по FBS и FBW	как продавать ювелирные изделия на wildberries по fbs и fbw	H3[25]; Отчёт о реализации Wildberries: как читать финансовый отчёт и сверить выплату	OUT_OF_SCOPE		Explicit 1C/accounting, external intelligence, onboarding/mutation, or another task outside launch product scope; preserve as page evidence.	NO_M6_PROMOTION_UNSUPPORTED_OR_DIFFERENT_TASK	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00068	M4QR2TR0035	REG042	https://selsup.ru/blog/gde-v-ozone-najti-finansovyj-otchet/	ARTICLE_OR_GUIDE	Отчёт о реализации Ozon: где найти и как сверить выплату	отчёт о реализации ozon: где найти и как сверить выплату	H1; Отчёт о реализации Ozon: где найти и как сверить выплату	ALREADY_PRESENT	M4CCAND004450	Exact-safe raw wording already occurs in accepted M4C (1 source occurrences; same entity=1); no new demand claim.	KEEP_EXISTING_M4C_M6_ROUTE	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
